#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
REL_ANTIPOPES_DESC;$NAME$ Rulers can set up Antipopes;Un dirigeant $NAME$ peut installer un antipape;;;;;;;;;;;;x
REL_EXCOMMUNICATION_DESC;The $HEAD_TITLE$ can Excommunicate $NAME$ characters;Le $HEAD_TITLE$ peut excommunier un personnage $NAME$;;;;;;;;;;;;x
REL_GRANT_INVASION_DESC;The $HEAD_TITLE$ can grant the Invasion Casus Belli;Le $HEAD_TITLE$ peut sanctionner une invasion;;;;;;;;;;;;x
REL_GRANT_CLAIM_DESC;The $HEAD_TITLE$ can grant Claims on titles;Le $HEAD_TITLE$ peut accorder des prétentions;;;;;;;;;;;;x
REL_CALL_CRUSADE_DESC;The $HEAD_TITLE$ can call for a $CRUSADE$;Le $HEAD_TITLE$ peut prêcher pour $CRUSADE$;;;;;;;;;;;;x
REL_PRIESTS_INHERIT_DESC;Priests (Temple holders) can inherit titles;Les propriétaires de temple demeurent dans la sucession;;;;;;;;;;;;x
REL_PRIESTS_MARRY_DESC;Priests can marry;Les prêtres peuvent se marier;;;;;;;;;;;;x
REL_FEMALE_TEMPLE_HOLDERS_DESC;Women may own Temple Holdings;Les femmes peuvent posséder des temples;;;;;;;;;;;;x
REL_NO_FEMALE_RULER_OPINION_PENALTY_DESC;No opinion penalty against female rulers and heirs;Aucune opinion négative des femmes au pouvoir ou des héritières;;;;;;;;;;;;x
REL_AUTOCEPHALY_DESC;Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings;Patriarcat - En plus des Pentarques, divers patriarches autonomes relevant de l'autorité royale;;;;;;;;;;;;x
REL_PREPARED_INVASIONS_DESC;Fairly weak rulers can Prepare Invasions;Les dirigeants plutôt mineurs peuvent préparer des invasions;;;;;;;;;;;;x
REL_RIVER_MOVEMENT_DESC;Fleets can navigate major rivers;Les flottes peuvent naviguer sur les fleuves;;;;;;;;;;;;x
REL_RAIDING_DESC;Rulers can raid infidel neighbors for loot;Les dirigeants peuvent piller leurs voisins d'autres religions;;;;;;;;;;;;x
REL_VASSALS_DONT_MIND_RAISED_DESC;Vassals do not mind if their levies are raised;Les vassaux ne s'objecte pas à l'appel de leurs troupes;;;;;;;;;;;;x
REL_DIVINE_BLOOD_DESC;Rulers can marry close kin to improve vassal opinions;Les dirigeants peuvent s'attacher des vassaux en leur mariant de proches parents;;;;;;;;;;;;x
REL_DECADENCE_DESC;$NAME$ dynasties may grow Decadent;Une dynastie $NAME$ peut sombrer dans la décadence;;;;;;;;;;;;x
REL_POLYGAMY_DESC;$NAME$ men can have up to §Y$NUM$§! wives (unless they are allowed to have concubines);Un homme $NAME$ peut avoir jusqu'à §Y$NUM$§! épouses (à moins qu'il ne se prennent des concubines);;;;;;;;;;;;x
REL_CONCUBINAGE_DESC;$NAME$ men can take up to §Y$NUM$§! Concubines;Un homme $NAME$ peut avoir jusqu'à §Y$NUM$§! Concubines;;;;;;;;;;;;x
REL_DEF_ATTRITION_DESC;Non-pagans (with low tech) have a very low Supply Limit in $NAME$ counties;Sans avancées techniques, les troupes d'une religion organisées subissent une importante attrition sur une terre $NAME$;;;;;;;;;;;;x
REL_PEACE_PRESTIGE_LOSS_DESC;Rulers lose Prestige if at peace for too long;Les dirigeants perdent du prestige s'ils sont en paix pour trop longtemps;;;;;;;;;;;;x
REL_CAN_REFORM_DESC;Can be Reformed;Peut devenir une religion organisée;;;;;;;;;;;;x
REL_HEAD_CAN_BE_CREATED_DESC;A religious head (the $HEAD_TITLE$) can be created by a special Decision;Un chef spirituel ($HEAD_TITLE$) peut être créé lors d'une décision spéciale;;;;;;;;;;;;x
REL_SECULAR_HEAD_DESC;$TITLE_NAME$ is held by a secular ruler, and can be destroyed or created normally;"Le titre de $TITLE_NAME$ peut être détenu par un dirigeant séculier; il peut être créé et détruit";;;;;;;;;;;;x
REL_ALWAYS_A_HEAD_DESC;There is always a $HEAD_TITLE$, landed or not;Même s'il n'a plus de fiefs, il y a toujours un $HEAD_TITLE$;;;;;;;;;;;;x
REL_NO_HEAD_DESC;There is (and can exist) no religious head;Cette religion ne dispose d'aucun chef spirituel;;;;;;;;;;;;x
REL_CASTE_OPINIONS_DESC;Caste Traits have great effect on opinions;La caste a un impact majeur sur les opinions;;;;;;;;;;;;x
REL_PACIFIST_DESC;Much lower chance of provincial revolts\n§Y*§! Large bonuses to all vassal opinions\n§Y*§! Rulers can hold larger Demesnes\n§Y*§! Rulers cannot declare Holy Wars;Les risques de révoltes populaires sont grandement réduits\n§Y*§! Important bonus d'opinion des vassaux±n§Y*§! Les dirigeants peuvent avoir un plus grand domaine\n§Y*§! Aucune guerre sainte ne peut être déclarée;;;;;;;;;;;;x
REL_HEIR_DESIGNATION_DESC;Can designate any valid offspring as the heir;Peut désigner son héritier parmi sa descendance directe;;;;;;;;;;;;x
buddhist_FEATURES;§Y*§! Can only declare limited Holy Wars against non-Indian religions;§Y*§! Les guerres saintes sont limitées et ne peuvent viser que des religions non-indiennes;;;;;;;;;;;;x
hindu_FEATURES;§Y*§! Can only declare Holy Wars against non-Indian religions;§Y*§! Aucune guerre sainte ne peut être déclarée contre une autre religion indienne;;;;;;;;;;;;x
cathar_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;§Y*§! Les femmes ont accès à tous les postes du Conseil\n§Y*§! Les femmes peuvent mener des armées au combat;;;;;;;;;;;;x
nomadic_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.;Le mode de vie nomade ne valorise pas les fiefs et leur préfère encore le pâturage, utile aux moutons et aux chevaux. La mécanique de jeu se concentre sur la peuplade et ses effectifs. Les fiefs vacants des provinces augmentent la population maximale. Bien que les nomades peuvent détenir des vassaux conventionnels, ils se soucient davantage de leurs rapports avec les autres chefs de Clan;;;;;;;;;;;;x
republic_government_desc;The leaders of regular republics are randomly chosen from among the citizenry. This kind of republic is not playable, since there is no dynastic persistence between the generations of rulers.;Sous le régime de la Commune, les dirigeants sont choisis au sein de la population. Puisqu'il n'y a pas de persistance dynastique dans ce sytème de gouvernement, les personnages bourgeois ne peuvent être joué.;;;;;;;;;;;;x
tribal_government_desc;Tribes are settled but agrarian. Each county can only have one Tribal 'Holding', representing the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding. Tribal rulers are limited to the 'Elective Gavelkind' Succession Law, which tends to fragment the realm between sons on the death of the chief.;Le régime tribal est sédentaire, agraire plutôt que pastoral. Chaque province ne contient qu'un fief tribal, qui représente la totalité de la population locale. Plus il y a de fiefs vacants, plus la tribu est puissante. La succession tribale ne peut être réglée que par le partage électif, qui tends à émietter la contrée, les fils se séparant l'héritage du père.;;;;;;;;;;;;x
theocracy_government_desc;Theocracies, like minor republics, are unplayable. Rulers are appointed or elected from among the ecclesiarchy, and there is no dynastic persistence between generations of rulers.;Dans un régime théocratique, les dirigeants sont désignés selon un règle précise, ou encore élus parmi le clergé. Puisqu'il n'y pas de persistance dynastique dans ce système de gouvernement, les personnages religieux ne peuvent être joué.;;;;;;;;;;;;x
GOV_DECADENCE_DESC;$NAME$ dynasties may grow Decadent if the religion also allows it;Sous un régime $NAME$, les dynasties ne sont pas à l'abri de la décadence morale;;;;;;;;;;;;x
GOV_PIETY_LAW_CHANGE_DESC;Laws are changed by expending Piety, not by votes;Les modifications des lois se font avec de la piété et ne requiert aucun vote des vassaux;;;;;;;;;;;;x
GOV_RAIDING_DESC;Rulers can raid infidel neighbors for loot;Les dirigeants peuvent piller leurs voisins d'autres religions;;;;;;;;;;;;x
GOV_NO_GENDER_SUCC_LAWS_DESC;No Gender Succession Laws;Aucune loi de succession basée sur le sexe;;;;;;;;;;;;x
GOV_CONCUBINAGE_DESC;Male rulers can take up to §Y$NUM$§! Concubines;Un dirigeant peut prendre jusqu'à §Y$NUM§$ concubines;;;;;;;;;;;;x
CUL_RAIDING_DESC;Rulers can raid infidel neighbors for loot;Les dirigeants peuvent piller leurs voisins d'autres religions;;;;;;;;;;;;x
CUL_OVERSEAS_RAIDER_DESC;Can raid overseas with ships;Les pillages amphibies sont possibles;;;;;;;;;;;;x
CUL_BLINDING_DISINHERITS_DESC;Blind characters cannot inherit titles;Les aveugles sont exclus de la succession;;;;;;;;;;;;x
nomad_ruling_clan_too_powerful;Minor Clans on the Rise;Soulèvement de clans locaux;;;;;;;;;;;;x
cb_minor_clan_revolt_desc;Powerful 'minor' clans can rise up in revolt, demanding a place among the major clans.;Certains clans d'envergure locale peuvent se révolter afin d'obtenir préséance au sein des grands Clans.;;;;;;;;;;;;x
CB_NAME_MINOR_CLAN_REVOLT;Minor Clan Revolt;Révolte d'un clan local;;;;;;;;;;;;x
WAR_NAME_MINOR_CLAN_REVOLT;Minor Clan Rising;Soulèvement d'un clan local;;;;;;;;;;;;x
ISNT_CLOSE_RELATIVE;Is NOT a close relative;N'est PAS un parent proche;;;;;;;;;;;;x
IS_CLOSE_RELATIVE;Is a close relative;Est un parent proche;;;;;;;;;;;;x
NOT_REALM_TITLE_STARTS;No Realm Title;Aucun titre de domaine;;;;;;;;;;;;x
ANY_TRADE_ROUTE_PROVINCE_STARTS;Any Trade Route County;Toute route commerciale;;;;;;;;;;;;x
NOT_ANY_TRADE_ROUTE_PROVINCE_STARTS;No Trade Route County;Aucune route commerciale;;;;;;;;;;;;x
AIREASON_NO_WAR_AGAINST_SPOUSE;Will not join wars against spouse (§Y[GetTitledName]§!)!;Est marié(e) avec un belligérant adverse (§Y[GetTitledName]§!)!;;;;;;;;;;;;x
STAT_VASSAL_LIMIT_DESC;Your vassal limit indicates how many direct vassals you can have at count tier or higher, excluding nomad clans. Having too many direct vassals will negatively affect the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death.;Le nombre de vassaux directs que vous pouvez détenir en tant que comte ou mieux est limités, sauf dans le cas des clans nomades. Un trop grand nombre de vassaux directs va nuire à la collecte de l'impôt ainsi qu'à l'organisation des levées. De plus, certains vassaux pourraient s'affranchir à votre mort.;;;;;;;;;;;;x
ENDGAME_TEXT_NOMADIC;You have become the ruler of a Nomadic realm and are therefore no longer allowed to continue playing.;Vous êtes devenu un dirigeant nomade, ce que vous n'êtes pas autorisé à jouer.;;;;;;;;;;;;x
adopt_tribalism;Settle as Tribe;Se Sédentariser;;;;;;;;;;;;x
adopt_tribalism_desc;I can choose to settle my tribe permanently.;Il est temps d'établir mon peuple pour de bon.;;;;;;;;;;;;x
nomad_adopt_feudalism;Settle as Feudal;Instaurer le féodalisme;;;;;;;;;;;;x
nomad_adopt_feudalism_named;Settle as Feudal in [Root.GetName];Instaurer la féodalité en [Root.GetName];;;;;;;;;;;;x
nomad_adopt_feudalism_desc;I can choose to leave behind my nomad way of life and become a Feudal ruler.;Je peux abandonner les moeurs nomades et devenir un seigneur féodal.;;;;;;;;;;;;x
CHRONICLE_ADOPTED_TRIBALISM;[From.GetDynName] settled as a tribe in [From.GetHerHis] domains, leaving their old nomad life behind them.;[From.GetDynName] a tourné le dos aux coutumes nomades et choisi de sédentariser son peuple.;;;;;;;;;;;;x
CHRONICLE_ADOPTED_IQTA;[From.GetDynName] adopted an Iqta system in [From.GetHerHis] domains, abandoning the old tribal ways.;[From.GetDynName] a adopté le régime de l'Iqtâ sur ses terres, délaissant ses moeurs tribales.;;;;;;;;;;;;x
CHRONICLE_NOMAD_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, leaving their old nomad life behind them.;[From.GetDynName] a développé le féodalisme au sein de sa tribu.;;;;;;;;;;;;x
CHRONICLE_NOMAD_ADOPTED_IQTA;[From.GetDynName] adopted an Iqta system in [From.GetHerHis] domains, leaving their old nomad life behind them.;[From.GetDynName] a adopté le régime de l'Iqtâ sur ses terres, tournant le dos aux coutumes nomades.;;;;;;;;;;;;x
SUB_REALM;Sub-realm;Domaine secondaire;;;;;;;;;;;;x
EVTNAMEHL1;A New Realm;Une nouvelle contrée;;;;;;;;;;;;x
EVTDESCHL2;The King of the [FromFrom.Culture.GetName]s, [FromFrom.GetBestName], has decided to settle down in [FromFrom.PrimaryTitle.GetName], making it [FromFrom.GetHerHis] new tribal homeland.;Les [FromFrom.Culture.GetName]s, avec à leur tête [FromFrom.GetBestName], ont décidé de s'installer en [FromFrom.PrimaryTitle.GetName] et d'y fixer leur tribu.;;;;;;;;;;;;x
recently_adopted_faith_tooltip;Has not adopted the faith of another clan in 10 years\n;N'a pas adopté la religion d'un autre clan depuis 10 ans\n;;;;;;;;;;;;x
convert_fort_to_city_named;Upgrade the Fort of [Root.GetName] to a City;Développer le fort de [Root.GetName] en cité;;;;;;;;;;;;x
convert_fort_to_castle_named;Upgrade the Fort of [Root.GetName] to a Castle;Développer le fort de [Root.GetName] en château;;;;;;;;;;;;x
convert_fort_to_temple_named;Upgrade the Fort of [Root.GetName] to a Temple;Développer le fort de [Root.GetName] en temple;;;;;;;;;;;;x
convert_fort_to_tribal_named;Upgrade the Fort of [Root.GetName] to a Tribal Holding;Transformer le fort de [Root.GetName] en domaine tribal;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_ACCEPT_SETUP;Blood Oath Formed;Nouveau frère de sang;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W has Formed a Blood Oath with [Recipient.GetBestName].;§Y[Actor.GetBestName]§W est devenu frère de sang avec [Recipient.GetBestName].;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W refused to form a Blood Oath with [Actor.GetBestName].;§Y[Recipient.GetBestName]§W refuse d'être le frère de sang de [Actor.GetBestName].;;;;;;;;;;;;x
alert_over_clan_limit_instant;§YOver Clan Limit§!;§Ytrop de clans§!;;;;;;;;;;;;x
alert_over_clan_limit_delayed;You have §R$NUM$§!/§Y$MAX$§! Clans, giving you a Clan Sentiment penalty towards all Clan vassals.;Votre peuple comporte §R$NUM$§!/§Y$MAX$§! clans, ce qui vous donne une pénalité de sentiment de clan envers vos clans vassaux.;;;;;;;;;;;;x
TOTAL_POPULATION_DESC;§YTotal Population in Realm§!;§YPopulation totale§!;;;;;;;;;;;;x
alert_too_few_clans_delayed;You hold too much land compared to the other Clans. Hand out §Y$NUM$§! counties or you might face revolts from the existing Clans as it negatively affects their §YClan Sentiment§! of you. You can also face a §YMinor Clan Rising§! revolt to seize its rightful position among the major Clans...;Nous possédons trop de terres comparé aux autres clans. Nous devons nous départir de §Y$NUM$§! comtés ou risquer une révolte des clans existants, ou encore le soulèvement d'un clan local...;;;;;;;;;;;;x
MODIFIER_RETINUE_MAINTENENCE_COST;Retinue Maintenence Cost;Frais d'entretien de la Garde;;;;;;;;;;;;x
CAPITAL_ADJACADENT_TO_TRADE_POST_MODIFIER;Adjacadent to Capital;Voisin de la capitale;;;;;;;;;;;;x
nomad_horse_offensive_modifier;Capital is in a Steppe, Desert or Plains county;La capitale se trouve dans une province de steppes, déserts ou plaines;;;;;;;;;;;;x
nomad_horse_defensive_modifier;Capital is in a Mountains, Hills or Arctic county;La capitale se trouve dans une province de montagnes, collines ou arctique;;;;;;;;;;;;x
MODIFIER_GLOBAL_WINTER_SUPPLY;Global Winter Supply;Total des vivres d'hivernage;;;;;;;;;;;;x
CAPITAL_AT_HOLY_SITE;Capital at $RELIGION$ Holy Site: §G+$VALUE$§!;Capitale dans un site sacré $RELIGION$ : §G+$VALUE$§!;;;;;;;;;;;;x
RULER_HAS_MOVED_CAPITAL_RECENTLY;§Y[GetTitledFirstName]§! is not allowed to move the capital again in $MONTHS$ months - unless it's back to the traditional capital of [PrimaryTitle.GetName].;§Y[GetTitledFirstName]§! ne pourra déplacer la capitale à nouveau dans $MONTHS$ mois, à moins de la rétablir dans son emplacement traditionnel.;;;;;;;;;;;;x
CONFIRM_MAKE_CAPITAL_DESC;Are you sure you want to move your court to $PROVINCE$, making it your capital?;Souhaitez-vous vraiment transférer la Cour en $PROVINCE$ et en faire votre capitale ?;;;;;;;;;;;;x
CONFIRM_MAKE_CAPITAL_DESC_0;$GOVERNMENT$ Rulers can only do this once in their lifetime.;Sous le régime $GOVERNMENT$, ce transfert est irrémédiable du vivant du dirigeant.;;;;;;;;;;;;x
CONFIRM_MAKE_CAPITAL_DESC_1;You will not be able to change capital again for $MONTHS$ months.;Vous ne pourrez pas déplacer la capitale avant §Y$MONTHS$§! mois.;;;;;;;;;;;;x
NOMAD_CANNOT_MOVE_CAPITAL_TO_HOLDING;Nomads can only move their Capital to counties with an empty primary holding slot.;Les nomades ne peuvent déplacer leur capitale que dans une province dont le fief principal est vacant.;;;;;;;;;;;;x
INTERACTION_REQUIRES_RECIPIENT_NO_OCCUPIED_PROVINCES;§Y[Recipient.GetTitledFirstName]§! have no occupied provinces;[Recipient.GetBestName] ne possède aucune province occupée.;;;;;;;;;;;;x
faction_overthrow_desc;Members desire §Y[From.GetBestName]§! as the new leader for the §Y[This.GetFullName]§!. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!;Les membres désirent avoir §Y[From.GetBestName]§! comme nouveau chef des §Y[This.GetFullName]§!. Lorsqu'il sera assez puissant, §Y[From.GetBestName]§! pourra présenter un ultimatum à §Y[From.Liege.GetBestName]§!;;;;;;;;;;;;x
WAR_NAME_INSTALLKHAN;Install $ATTACKER$ as Khan of $SECOND$;Faire de $ATTACKER$ le khan des $SECOND$;;;;;;;;;;;;x
IMPRISON_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the imprisonment of this outsider.;En raison des différences de gouvernances de vos clans, aucun clan ne s'opposera à l'emprisonnement de cet étranger.;;;;;;;;;;;;x
EXECUTE_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the execution of this outsider.;En raison des différences de gouvernances de vos clans, aucun clan ne s'opposera à l'exécution de cet étranger.;;;;;;;;;;;;x
EXILE_INTERACTION_FORCED;Because of their different way of governance, none of your Clans will object to the exile of this outsider.;En raison des différences de gouvernances de vos clans, aucun clan ne s'opposera à l'exil de cet étranger.;;;;;;;;;;;;x
