#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HIGH_MED_INFO;As Europe entered the 13th century, Constantinople had been weakened by the Turks and sacked by the Fourth Crusade, so the Byzantine Empire was very much weakened. The Turks still reigned in the Middle East and Persia, in India many new kingdoms vied for power after the fall of the old dynasties. The Norman conquest had brought new political and dynastic struggles to England and France, the Christian kingdoms in Spain were continually growing stronger, Scandinavia had left paganism behind and was becoming more centralized. In Russia several principalities struggled for power in the shadow of the Bolghars and Cumans to the east. In Germany and Italy, the Holy Roman Empire still stood firm, but beyond all this, to the east, a new power was to come into play. When the Mongols broke into Eastern Europe and Persia, it changed the balance of power in all of Western Eurasia...;L'Europe entre dans le XIIIe siècle alors que Constantinople, affaiblie par les Turcs, est occupée et pillée par la Quatrième Croisade. Inutile de dire que l'Empire byzantin est formidablement réduit. Les Turcs règnent toujours sur le Moyen-Orient et la Perse, pendant qu'en Inde de nouveaux royaumes rivalisent pour s'approprier les restes des anciennes dynasties disparues. La conquête normande a créé de nombreuses luttes dynastiques et politiques entre l'Angleterre et la France, alors que les royaumes chrétiens d'Espagne poursuivent leurs ascension. Les Scandinaves ont tourné le dos au paganisme et centralisent leur administration. En Russie, plusieurs principautés se disputent le pouvoir dans l'ombre des Bolghars et des Coumans de l'est. En Allemagne et en Italie, le Saint-Empire résiste à l'epreuve du temps. Mais, une nouvelle puissance s'apprête à entrer en scène. Lorsque les Mongols débarquent en Europe de l'Est et en Perse, c'est toute la géopolitique du Monde occidental qui en est ébranlée.;Als Europa ins 13. Jh. eintrat, war Konstantinopel von den Türken geschwächt und vom Vierten Kreuzzug gebrandschatzt worden. Byzanz hatte seine Machtposition so gut wie verloren. Die Türken herrschten über den Nahen Osten und Persien, und in Indien versuchten viele neue Königreiche nach dem Niedergang alter Herrscherdynastien die Vorherrschaft an sich zu reißen. Die Eroberung Englands durch die Normannen löste neue politische und dynastische Konflikte in England und Frankreich aus, die christlichen Königreiche Spaniens wurden stetig mächtiger und im nun endgültig christianisierten Skandinavien wurde die Herrschaft allmählich zentralisierter. In Russland kämpften mehrere Fürstentümer im Schatten der Bulgaren und Kumanen im Osten um die Macht. In Deutschland und Italien behielt das Heilige Römische Reich seine zentrale Bedeutung, doch jenseits dieser Entwicklungen erhob sich am östlichen Horizont eine neue Großmacht. Als die Mongolen in Osteuropa und Persien einfielen, sollte dies das Kräftegleichgewicht in Westeurasien von Grund auf ändern...;;Cuando Europa entró en el siglo XIII Constantinopla ya había sido debilitada por los turcos y saqueada por la Cuarta Cruzada, así que el Imperio bizantino era débil. Los turcos aún reinaban en el Oriente Medio y Persia, en la India muchos nuevos reinos competían por el poder tras la caída de las viejas dinastías. La conquista normanda había traído nuevas disputas a Inglaterra y Francia, los reinos cristianos de España seguían fortaleciéndose, Escandinavia había abandonado el paganismo y se había centralizado. En Rusia, varios principados luchaban por el poder a la sombra de los búlgaros y los cumanos, al este. En Alemania e Italia, el Sacro Imperio Romano aún seguía firme, pero con todo lo que estaba sucediendo al este, estaba a punto de aparecer un nueva potencia. Cuando los mongoles irrumpieron en Europa del Este y Persia, cambió el equilibrio de poderes en toda la Eurasia Occidental...;;;;;;;;;x
LATE_MED;Late Middle Ages;Bas Moyen-Âge;Spätmittelalter;;Crisis de la Edad Media;;;;;;;;;x
LATE_MED_INFO;Europe in the Late Middle Ages was a very different place compared to a few hundred years earlier. Spain was dominated by the Christian kingdoms, the Muslim rulers only clinging on in the south. The Holy Roman Empire still dominated Central Europe next to a strong Hungary, while in France and England dynastic conflicts with roots in the Norman conquest were to lead to long and bloody wars. The Golden Horde and the Ilkhanate dominated the Steppes and Persia, forcing every ruler between Central Europe and India to take the Mongols into account. The Tughluq dynasty ruled an immense empire in India, while North Africa was divided between various Arab dynasties. Turkish domination in the Middle East seemed to have been ended by the Mongol conquests, but in Anatolia a dynasty known as the Ottomans was stirring...;En cette période aussi qualifiée de Moyen-Âge tardif, l'Europe n'est plus ce qu'elle était il y a plusieurs siècles. L'Espagne est maintenant sous la domination des chrétiens, les dirigeants musulmans ne parvenant qu'à s'accrocher au sud de la péninsule. Le Saint-Empire domine toujours l'Europe centrale, flanqué par une Hongrie prospère, pendant que la France et l'Angleterre sombrent dans de longs et sanglants affrontements, alimenté par des conflits dynastiques dont les racines plongent jusqu'à la conquête normande. La Horde d'Or et l'Ilkhanat dominent les steppes et la Perse, contraignant les dirigeants d'Europe centrale et d'Inde à composer avec la menace mongole. La dynastie des Tughluq préside aux destinées d'un immense empire en Inde pendant que l'Afrique du Nord est morcelée par les grandes familles arabes. La domination turque du Moyen-Orient semble révolue suite aux conquêtes mongoles, mais en Anatolie, le clan des Ottomans fourbit ses armes...;Das Europa des Spätmittelalter unterschied sich deutlich vom Europa nur einige hundert Jahre zuvor. Spanien wurde nun von christlichen Königreichen beherrscht, und nur im Süden hielten sich muslimische Herrscher. Das Heilige Römische Reich dominierte weiterhin Zentraleuropa, in Nachbarschaft zu einem starken Ungarn, während in Frankreich und England dynastische Konflikte, die ihre Wurzeln in der Zeit der normannischen Eroberung hatten, lange, blutige Kriege heraufbeschworen. Die Goldene Horde und das Ilkhanat herrschten über die Steppen und über Persien, was die Herrscher Europas und Indiens zwang, die Mongolen in etwaige Überlegungen miteinzubeziehen. Die Dynastie der Tughluq herrschte über ein riesiges Reich in Indien, während Nordafrika unter verschiedenen arabische Dynastien aufgeteilt war. Die türkische Vorherrschaft im Nahen und Mittleren Osten war nach dem Vordringen der Mongolen scheinbar beendet, allerdings gab es in Anatolien eine neue Herrscherfamilie, die Osmanen, die bald auf sich aufmerksam machte...;;Durante la Crisis de la Edad Media, Europa era un lugar muy diferente respecto a lo que había sido unos pocos siglos antes. España estaba dominada por los reinos cristianos y los gobernantes musulmanes solamente permanecían aferrados en el sur. El Sacro Imperio Romano aún dominaba la Europa Central próxima a la fuerte Hungría, mientras que en Francia e Inglaterra los conflictos dinásticos con raíces en la conquista normanda, iban a llevarlas a largas y sangrientas guerras. La Horda Dorada y el Iljanato dominaban las Estepas y Persia, obligando a todos los gobernantes entre la Europa Central e India a tener en cuenta a los mongoles. La dinastía tughlúquida gobernó un inmenso imperio en la India, mientras que el Norte de África estaba dividido entre varias dinastías árabes. El dominio turco en el Oriente Medio parecía que había llegado a su fin con las conquistas de los mongoles, pero en Anatolia estaba despertando una nueva dinastía conocida como los otomanos...;;;;;;;;;x
tribal_count;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x
tribal_county_of;Chiefdom of;Terres des;Ländereien des Häuptlings von;;Cacicazgo de;;;;;;;;;x
temple_baron_hellenic_pagan;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_female_hellenic_pagan;Priestess;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
job_spiritual_zun_pagan;Diviner;Devin;Wahrsager;;Adivino;;;;;;;;;x
job_spiritual_zun_pagan_reformed;Diviner;Devin;Wahrsager;;Adivino;;;;;;;;;x
zun_pagan;Zunist;Zuniste;Zunist;;Zunista;;;;;;;;;x
zun_pagan_reformed;The Church of Zun;L'église de Zun;Die Zun-Kirche;;La Iglesia de Zun;;;;;;;;;x
zun_pagan_reformed_adj;Zunist;zuniste;Zunist;;Zunista;;;;;;;;;x
zun_pagan_DESC;Zun, the Giver of Justice, is the sun-god originally worshipped by the Zunbil dynasty in Afghanistan. Zun embodies wisdom, power, fire and the light that drives away the night. Defining features in-game:\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries;Zun, le Justicier, est le dieu-soleil qui était à l'origine vénéré par la dynastie Zunbil, en Afghansistan. Zun incarne la sagesse, le pouvoir, le feu et la lumière qui vainc la nuit. Caractéristiques en jeu :\n§Y*§! Peut déclarer des guerres d'assujettissement contre toutes les religions païennes\n§Y*§! Les dirigeants n'ont accès qu'à la succession Gavelkind\n§Y*§! Inférieurs en conversion et vulnérables aux missionnaires non-païens\n§Y*§!;Zun, der Geber der Gerechtigkeit, ist der ursprünglich von der Zunbil-Dynastie in Afghanistan verehrte Gott. Zun verkörpert Weisheit, Macht, Feuer und das Licht, das die Nacht vertreibt. Besondere Merkmale im Spiel:\n§Y*§! Kann gegen alle anderen Heiden Unterwerfungskriege erklären\n§Y*§! Herrscher sind auf Realteilungs-Nachfolge beschränkt\n§Y*§! Schwach bei Bekehrungen und anfällig für nicht-heidnische Missionare;;Zun, el que Imparte Justicia, es el rey-sol originariamente adorado por la dinastía Zunbil en Afganistán. Zun representa sabiduría, poder, fuego y la luz que conduce a través de la oscuridad. Definiendo características en juego:\n§Y*§! Puedes declarar Guerras de Subyugación contra otros paganos\n§Y*§! Los gobernantes están limitados a la sucesión Gavelkind\n§Y*§! Inferior en conversión y vulnerable a los misioneros no paganos.;;;;;;;;;x
zun_pagan_reformed_DESC;Zun, the Sun-God and Giver of Justice, embodies wisdom, power, fire and the light that drives away the night. The reformed Zun faith has a Holy Book detailing things such as the creation myths and outlining church doctrine, as well as a standardized liturgy and a formal church hierarchy led by the High Priest. Defining features in-game:\n§Y*§! There is always a High Priest, even if unlanded\n§Y*§! The High Priest can call Great Holy Wars;Zun, dieu-soleil et Justicier, incarne la sagesse, le pouvoir, le feu et la lumière qui vainc la nuit. La foi réformée de Zun a un livre saint qui relate en détails les mythes de la création et la doctrine de cette Église, de même que la liturgie standardisée et la hiérarchie officielle, dirigée par le Grand-Prêtre. Caractéristiques en jeu :\n§Y*§! Il y a toujours un Grand-Prêtre, même s'il n'y a plus de terres\n§Y*§! Le Grand-Prêtre peut déclarer de grandes guerres saintes;Zun der Sonnengott und Geber der Gerechtigkeit verkörpert Weisheit, Macht, Feuer und das Licht, das die Nacht vertreibt. Die Heilige Schrift des Zun-Glaubens enthält die Schöpfungsmythen und die Lehren der Kirche sowie eine genormte Liturgie und beschreibt die offizielle Kircenhierarchie unter Führung des Hohepriesters. Besondere Merkmale im Spiel:\n§Y*§! Es gibt immer einen Hohepriester, auch wenn er kein Land besitzt\n§Y*§! Der Hohepriester kann Große Heilige Kriege erklären;;Zun, el que Imparte Justicia, es el rey-sol, representa sabiduría, poder, fuego y la luz que conduce a través de la oscuridad. La fe reformada de Zun tiene un Libro Sagrado que detalla aspectos como la creación de mitos y los principios básicos de la doctrina eclesiástica, así como una liturgia estandarizada y una jerarquía eclesiástica liderada por el Sumo Sacerdote. Definiendo características en juego:\n§Y*§! Siempre hay un Sumo Sacerdote, aunque sea desterrado\n§Y*§! El Sumo Sacerdote puede hacer un llamamiento a las Grandes Guerras Sagradas.;;;;;;;;;x
duchy_of_norse;Jarldom of;Domaine de;Grafschaft von;;Jarldom de;;;;;;;;;x
duke_finnish_pagan;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_finnish_pagan;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duke_finnish_pagan_reformed;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_finnish_pagan_reformed;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duchy_of_finnish_pagan;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duchy_of_finnish_pagan_reformed;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duke_baltic_pagan;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_baltic_pagan;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duke_baltic_pagan_reformed;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_baltic_pagan_reformed;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duchy_of_baltic_pagan;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duchy_of_baltic_pagan_reformed;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duke_tengri_pagan;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_tengri_pagan;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duke_tengri_pagan_reformed;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_tengri_pagan_reformed;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duke_slavic_pagan;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_slavic_pagan;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duke_slavic_pagan_reformed;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
duke_female_slavic_pagan_reformed;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
duchy_of_slavic_pagan;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
duchy_of_slavic_pagan_reformed;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
tribal_duke_old_saxon;High Chief;Grand Chef;Hoher Häuptling;;Alto mandatario;;;;;;;;;x
tribal_duke_female_old_saxon;High Chieftess;Grande Cheftaine;Hohe Herrscherin;;Alto mandataria;;;;;;;;;x
tribal_duchy_of_old_saxon;High Chiefdom of;Grande Chefferie de;Hochhäuptlingstum von;;Alto Cacicazgo de;;;;;;;;;x
tribal_king_old_saxon;Grand Chief;Grand Chef;Großhäuptling;;Gran Mandatario;;;;;;;;;x
tribal_king_female_old_saxon;Grand Chieftess;Grande Cheftaine;Großherrscherin;;Gran Mandataria;;;;;;;;;x
tribal_kingdom_of_old_saxon;Grand Chiefdom of;Grande Chefferie de;Großhäuptlingstum von;;Gran Cacicazgo de;;;;;;;;;x
tribal_duke_norse;Jarl;Jarl;Graf;;Jarl;;;;;;;;;x
k_saxony;Saxony;Saxe;Sachsen;;Sajonia;;;;;;;;;x
RETTYPE_CUL_PICTISH;Pictish Raiders;Pillards pictes;Piktische Reiter;;Jinetes Pictos;;;;;;;;;x
CHRONICLE_MARRIED_FATHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Father.GetTitledName].;[From.GetTitledName] a épousé [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Father.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Vater.GetTitledName], geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Father.GetTitledName].;;;;;;;;x;
CHRONICLE_MARRIED_MOTHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Mother.GetTitledName].;[From.GetTitledName] a épousé [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Mother.GetTitledName], geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;;;;;;;;x;
CHRONICLE_MARRIED_NO_PARENT;[From.GetTitledName] married [New.GetTitledFirstName].;[From.GetTitledName] a épousé [New.GetTitledFirstName].;[From.GetTitledName] hat [New.GetTitledFirstName] geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName].;;;;;;;;x;
EXPORT;Export Chronicle;Exporter la chronique;Chronik exportieren;;Exportar Crónica;;;;;;;;x;
EXPORT_DEL;Export Chronicle to a .txt file;Exporter la chronique au format .txt;Chronik in eine txt-Datei exportieren;;Exportar Crónica a archivo .txt;;;;;;;;x;
b_haapsalu;Haapsalu;Haapsalu;Haapsalu;;Haapsalu;;;;;;;;;x
b_lihula;Lihula;Lihula;Lihula;;Lihula;;;;;;;;;x
b_parnu;Parnu;Pärnu;Parnu;;Parnu;;;;;;;;;x
b_martna;Martna;Martna;Martna;;Martna;;;;;;;;;x
b_kullamaa;Kullamaa;Kullamaa;Kullamaa;;Kullamaa;;;;;;;;;x
b_karuse;Karuse;Karuse;Karuse;;Karuse;;;;;;;;;x
b_pooravere;Pööravere;Pööravere;Pööravere;;Pööravere;;;;;;;;;x
b_piirsalu;Piirsalu;Piirsalu;Piirsalu;;Piirsalu;;;;;;;;;x
d_ilmenians;Ilmenians;Ilmenians;Ilmenier;;Ilmenianos;;;;;;;;;x
d_ilmenians_adj;Ilmenian;ilmenian;Ilmenisch;;Ilmeniano;;;;;;;;;x
d_zun_pagan_reformed;The Church of Zun;L'Église de Zun;Die Zun-Kirche;;La Iglesia de Zun;;;;;;;;;x
temple_baron_zun_pagan;Sun Guardian;Gardien du Soleil;Sonnenwächter;;El Guardián del Sol;;;;;;;;;x
temple_baron_zun_pagan_reformed;Sun Guardian;Gardien du Soleil;Sonnenwächter;;El Guardián del Sol;;;;;;;;;x
b_gaujiena;Gaujiena;Gaujiena;Gaujiena;;Gaujiena;;;;;;;;;x
b_antenoreo;Antenoreo;Antenoreo;Antenoreo;;Antenoreo;;;;;;;;;x
b_galbaio;Galbaio;Galbaio;Galbaio;;Galbaio;;;;;;;;;x
b_monegario;Monegario;Monegario;Monegario;;Monegario;;;;;;;;;x
b_gaulo;Gaulo;Gaulo;Gaulo;;Gaulo;;;;;;;;;x
