#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_culture_nubian_2;Nubian Warrior Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_3;Nubian Warrior Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_4;Nubian Warrior Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_nubian_1_desc;These barracks are where the ancient Nubian warrior traditions are nurtured and developed. Nubia has since ancient times been respected for its masterful archers, and other elite units of infantry are trained and drilled to support this potent weapon of the Nubian rulers.;Cette caserne est le lieu où les anciennes traditions des guerriers nubiens sont encouragées et développées. Depuis les anciens temps, la Nubie est respectée pour la qualité magistrale de ses archers. D'autres unités d'infanterie d'élite sont entrainées et exercées à soutenir cette puissante arme des dirigeants nubiens.;In diesen Barracken werden die traditionellen Nubischen Krieger ausgebildet. Nubien ist seit der Antike für seine fähigen Bogenschützen bekannt, so dass seine besten Soldaten darauf gedrillt werden, die mächtigste Waffe der Nubischen Herrscher auf dem Schlachtfeld zu unterstützen.;;En estas barracas es donde se desarrollan y mejoran las tradiciones militares nubias. Nubia es respetada por sus brillantes arqueros, y otras unidades deélite en infantería son entranados para el uso de esta potente arma de los gobernantes nubios.;;;;;;;;;x
NOT_VARIABLE;§Y$VAR$§! is less than §Y$VALUE$§!;§Y$VAR$§! est inférieur à §Y$VALUE$§!;§Y$VAR$§! ist kleiner als §Y$VALUE$§!;;§Y$VAR$§! es menor que §Y$VALUE$§!;;;;;;;;;x
VARIABLE;§Y$VAR$§! is at least §Y$VALUE$§!;§Y$VAR$§! est au moins de §Y$VALUE$§!;§Y$VAR$§! ist mindestens §Y$VALUE$§!;;§Y$VAR$§! es al menos de §Y$VALUE$§!;;;;;;;;;x
SET_VARIABLE;Set §Y$VAR$§! to §Y$VALUE$§!;Mettre §Y$VAR$§! à §Y$VALUE$§!;Setzt §Y$VAR$§! auf Wert §Y$VALUE$§!;;Adjuste de §Y$VAR$§! a §Y$VALUE$§!;;;;;;;;;x
CHANGE_VARIABLE;Change §Y$VAR$§! with §Y$VALUE$§!;Changer §Y$VAR$§! pour §Y$VALUE$§!;Ändert §Y$VAR$§! um §Y$VALUE$§!;;Cambio de §Y$VAR$§! con §Y$VALUE$§!;;;;;;;;;x
SUBTRACT_VARIABLE;Subtract §Y$VALUE$§! from §Y$VAR$§!;Soustraire §Y$VALUE$§! à §Y$VAR$§!;Reduziert §Y$VAR$§! um §Y$VALUE$§!;;Reste §Y$VALUE$§! de §Y$VAR$§!;;;;;;;;;x
MULTIPLY_VARIABLE;Multiply §Y$VAR$§! with §Y$VALUE$§!;Multiplier §Y$VAR$§! par §Y$VALUE$§!;Multipliziert §Y$VAR$§! mit §Y$VALUE$§!;;Multiplicar §Y$VAR$§! con §Y$VALUE$§!;;;;;;;;;x
DIVIDE_VARIABLE;Divide §Y$VAR$§! with §Y$VALUE$§!;Diviser §Y$VAR$§!par §Y$VALUE$§!;Teilt §Y$VAR$§! durch §Y$VALUE$§!;;Divide §Y$VAR$§! con §Y$VALUE$§!;;;;;;;;;x
TRIGGER_DYNASTY_HEAD;Head of Dynasty;Chef de maison;Oberhaupt der Dynastie;;Jefe de la Dinastía;;;;;x;;;;
NUM_OF_MAX_SETTLEMENTS_AT_LEAST;Max holdings at least §Y$VAL$§!;Taille potentielle du domaine d'au moins §Y$VAL$§!;Anzahl der maximalen Besitztümer mindestens §Y$VAL$§!;;Max propiedades al menos §Y$VAL$§!;;;;;x;;;;
NUM_OF_MAX_SETTLEMENTS_LESS_THAN;Max holdings less than §Y$VAL$§!;Taille potentielle du domaine inférieure à §Y$VAL$§!;Anzahl der maximalen Besitztümer geringer als §Y$VAL$§!;;Max propiedades menos de §Y$VAL$§!;;;;;x;;;;
NUM_OF_EMPTY_HOLDINGS_AT_LEAST;Empty holdings at least §Y$VAL$§!;Au moins §Y$VAL$§! fiefs inachevés;Anzahl der unbenutzten Besitztümer mindestens §Y$VAL$§!;;Propiedades vacíos al menos §Y$VAL$§!;;;;;x;;;;
NUM_OF_EMPTY_HOLDINGS_LESS_THAN;Empty holdings less than §Y$VAL$§!;Moins de §Y$VAL$§! fiefs inachevés;Anzahl der unbenutzten Besitztümer geringer als §Y$VAL$§!;;Propiedades vacíos menos de §Y$VAL$§!;;;;;x;;;;
DONT_BORDERS_MAJOR_RIVER;Does NOT border major river;N'est PAS baigné par un fleuve;Grenzt NICHT an einen schiffbaren Fluss an;;NO bordea un río importante;;;;;x;;;;
BORDERS_MAJOR_RIVER;Borders major river;Baigné par un fleuve;Grenzt an einen schiffbaren Fluss an;;Bordea un río importante;;;;;x;;;;
SET_GRAPHICAL_CULTURE;Set graphical culture to §Y$NAME$§!;Adopter un apparence §Y$NAME$§!;Setzt dargestellte Kulturgrafik auf §Y$NAME$§!;;Establezca gráfica Cultura a §Y$NAME$§!;;;;;x;;;;
opinion_brother;Brother;Frère;Bruder;;Hermano;;;;;x;;;;
opinion_half_brother;Half-brother;Demi-frère;Halbbruder;;Medio hermano;;;;;x;;;;
opinion_sister;Sister;Soeur;Schwester;;Hermana;;;;;x;;;;
opinion_half_sister;Half-sister;Demi-soeur;Halbschwester;;Medio hermana;;;;;x;;;;
opinion_grandfather;Grandfather;Grand-père;Großvater;;Abuelo;;;;;x;;;;
opinion_grandmother;Grandmother;Grand-mère;Großmutter;;Abuela;;;;;x;;;;
opinion_grandchild;Grandchild;Descendant;Enkel;;Nieto/a;;;;;x;;;;
opinion_uncle;Uncle;Oncle;Onkel;;Tío;;;;;x;;;;
opinion_aunt;Aunt;Tante;Tante;;Tía;;;;;x;;;;
opinion_nephew;Nephew;Neveu;Neffe;;Sobrino;;;;;x;;;;
opinion_niece;Niece;Nièce;Nichte;;Sobrina;;;;;x;;;;
IS_VARIABLE_EQUAL;§Y$VAR$§! is equal to §Y$VALUE$§!;§Y$VAR$§! est égal(e) à §Y$VALUE$§!;§Y$VAR$§! is gleich Wert §Y$VALUE$§!;;§Y$VAR$§! es igual a §Y$VALUE$§!;;;;;;;;;x
NOT_IS_VARIABLE_EQUAL;§Y$VAR$§! is NOT equal to §Y$VALUE$§!;§Y$VAR$§! n'est PAS égal(e) à §Y$VALUE$§!;§Y$VAR$§! is NICHT gleich Wert §Y$VALUE$§!;;§Y$VAR$§! NO es igual a §Y$VALUE$§!;;;;;;;;;x
NOT_IS_LOOTING;Is NOT looting;N'est PAS en train de piller;Plündert NICHT;;NO está saqueando;;;;;x;;;;
IS_LOOTING;Is looting;Est en train de piller;Plündert;;Está saqueando;;;;;x;;;;
NOT_IS_LOOTING_IN;Is NOT looting in §Y$PROVINCE$§!;N'est PAS en train de piller en §Y$PROVINCE$§!;Plündert NICHT in §Y$PROVINCE$§!;;NO está saqueros en §Y$PROVINCE$§!;;;;;x;;;;
IS_LOOTING_IN;Is looting in §Y$PROVINCE$§!;Est en train de piller en §Y$PROVINCE$§!;Plündert in §Y$PROVINCE$§!;;Se saqueos en §Y$PROVINCE$§!;;;;;x;;;;
MODIFIER_DEMESNE_SIZE;Demesne Size;Taille du domaine;Domänengröße;;Tamaño de la heredad;;;;;;;;;x
MODIFIER_LOCAL_MOVEMENT_SPEED;Local Movement Speed;Vitesse locale de mouvement;Lokale Bewegungsgeschwindigkeit;;Velocidad de movimiento local;;;;;;;;;x
NOT_IS_ALLIED_WITH;Is NOT allied with §Y$NAME$§!;N'est PAS allié à §Y$NAME$§!;Ist NICHT mit §Y$NAME$§! verbündet;;NO está afiliada a §Y$NAME$§!;;;;;x;;;;
IS_ALLIED_WITH;Is allied with §Y$NAME$§!;Est allié à §Y$NAME$§!;Ist mit §Y$NAME$§! verbündet;;Se alía con §Y$NAME$§!;;;;;x;;;;
ANY_ALLIED_CHARACTER_STARTS;Any Allied Character;N'importe quel personnage allié;Beliebiger verbündeter Charakter;;Cualquier aliado;;;;;x;;;;
LOSES_NICKNAME;Will no longer be known as;Perd le sobriquet;Wird nicht mehr unter folgendem Namen bekannt sein:;;No seguirá siendo conocido como;;;;;;;;;x
LOSTNICKNAME_SETUP;Nickname Lost;Sobriquet perdu;Spitzname verloren;;Apodo perdido;;;;;;;;;x
LOSTNICKNAME_LOG;§Y$CHARACTERNAME$§! is no longer known as $NICKNAME$.;§Y$CHARACTERNAME$§! n'est plus connu(e) sous le nom de $NICKNAME$.;§Y$CHARACTERNAME$§! ist nicht länger als ''$NICKNAME$'' bekannt;;§Y$CHARACTERNAME$§! ya no es conocido como $NICKNAME$.;;;;;;;;;x
LIEGE_ENDED_WAR_PARTICIPATION_SETUP;Liege ended war participation;Le suzerain s'est retiré de cette guerre;Lehensherr beendete seine Kriegsteilnahme;;Tu señor puso fin a la participación en la guerra;;;;;;;;;x
LIEGE_ENDED_WAR_PARTICIPATION_LOG;§Y$VASSAL$§! is no longer a participant in §YThe $WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;§Y$VASSAL$§! ne participe plus à §YThe $WAR$§! car son suzerain §Y$LIEGE$§! a rejoint la guerre du côté §Y$SIDE$§!.;§Y$VASSAL$§! nimmt nicht länger am Krieg §Y''$WAR$''§! teil, da $PRONOUN$ Lehensherr ''§Y$LIEGE$§!'' dem Krieg als ''§Y$SIDE$§!'' beigetreten ist.;;§Y$VASSAL$§! ya no es un participante en §Yla guerre $WAR$§!, como su señor §Y$LIEGE$§! se unió a la guerra como §Y$SIDE$§!.;;;;;;;;;x
LIEGE_ENDED_WAR_SETUP;Liege ended the war;Le suzerain a mis fin à cette guerre;Lehensherr beendet Krieg;;Tu señor puso fin a la guerra;;;;;;;;;x
LIEGE_ENDED_WAR_LOG;§YThe $WAR$§! has ended as §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;§YThe $WAR$§! est terminée car §Y$LIEGE$§! a rejoint la guerre du côté §Y$SIDE$§!.;Der Krieg §Y''$WAR$''§! endete da §Y$LIEGE$§! dem Krieg als §Y''$SIDE$''§! beigetreten ist. ;;§YLa guerre $WAR$§! ha terminado como §Y$LIEGE$§! se unió a la guerra como §Y$SIDE$§!.;;;;;;;;;x
INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Crusades/Jihads and for supporting their claims outside your realm);Nous ne pouvons pas participer aux guerres de nos vassaux (sauf pour les Croisades/Djihads et pour appuyer leurs revendications à l'extérieur du royaume);Wir können nicht in Kriege unserer Vasallen eintreten (Ausnahme: Kreuzzug/Dschihad oder um ihre Ansprüche außerhalb eures Reiches durchzusetzen).;;No podemos unirnos a las guerras de nuestros vasallos (Salvo Cruzadas/Jihads o para apoyar reclamaciones territoriales fuera de nuestros dominios);;;;;;;;;x
temple_baron_slavic_pagan;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_slavic_pagan_reformed;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_baltic_pagan;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_baltic_pagan_reformed;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_aztec;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_aztec_reformed;Shaman;Chaman;Schamane;;Chamán;;;;;;;;;x
temple_baron_mazdaki;Vahram;Vahram;Vahram;;Vahram;;;;;;;;;x
temple_baron_manichean;Vahram;Vahram;Vahram;;Vahram;;;;;;;;;x
coa_plain_pagan;Plain;Pur;Einfach;;Simple;;;;;;;;;x
coa_plain_indian;Plain;Pur;Einfach;;Simple;;;;;;;;;x
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Devient [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];Werdet [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.;[This.GetTitledFirstName] désire devenir [Root.GetKingQueen] de [This.Capital.Kingdom.GetName]. Si elle est païenne, cela permet à/au [This.GetObjectPronoun] l'utilisation illimitée de l'assujettissement casus belli au sein du royaume. ;[This.GetTitledFirstName] möchte [Root.GetKingQueen] von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem Königreich.;; [This.GetTitledFirstName] quiere convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName]. Si es pagano, permite a [This.GetObjectPronoun] el uso ilimitado de la Casus Belli Subyugación dentro del reino.;;;;;;;;;x
obj_become_king_tip;Is [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Est [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];Ist [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Es [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
RULER_HAS_BECOME_KING_AMBITION;With the ambition to become [Root.GetKingQueen] of §Y[This.Capital.Kingdom.GetName]§!, §Y[GetTitledFirstName]§! is not allowed to move the capital outside the de jure kingdom.;Avec l'ambition de devenir [Root.GetKingQueen] de §Y[This.Capital.Kingdom.GetName]§!, §Y[GetTitledFirstName]§! n'est pas autorisée à déplacer la capitale à l'extérieur du royaume de jure.;Mit der Ambition, [Root.GetKingQueen] von §Y[This.Capital.Kingdom.GetName]§! zu werden, darf §Y[GetTitledFirstName]§! die Hauptstadt nicht außerhalb des de jure Königreichs verlegen..;;Con la ambición de convertirse en [Root.GetKingQueen] de §Y[This.Capital.Kingdom.GetName]§!, a §Y[GetTitledFirstName]§! no se le permite mover su capital fuera del Reino de jure.;;;;;;;;;x
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against targets within the kingdom.) Free men are always willing to follow the mightiest ruler...;"Les païens peuvent assujettir d'autres païens, ce, une seule fois pendant toute leur vie. (Avec l'ambition ""Devenir $KING$"", cette limitation est levée quand il s'agit de cibles à l'intérieur du royaume visé.) Les hommes libres veulent toujours suivre le souverain le plus puissant...";Heiden dürfen einmal im Leben andere heidnische Anfährer unterwerfen. (Mit der '$KING$ werden'-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des Königreiches.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos durante su vida. (Con la ambición 'Convertirse en $KING$' no hay existe un plazo contra los objetivos dentro de los territorios de ese Reino.) Los hombres libres siempre estarán dispuestos a seguir al gobernante más poderoso...;;;;;;;;;x
temple_baron_hellenic_pagan;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_female_hellenic_pagan;Priestess;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
ct_barracks_1_desc;This is where the adult men of the city muster to join the militia in times of war.;C'est ici que les hommes de la cité se rassemblent pour se joindre à la milice en temps de guerre.;Hier werden die erwachsenen Männer der Stadt einberufen, um in Kriegszeiten der Miliz beizutreten. ;;Aquí se congregan los hombres adultos de la ciudad para unirse a la milicia en tiempos de guerra. ;;;;;;;;;x
ca_training_grounds_1_desc;Training grounds is where the castle levies can practise and ready themselves for the inevitability of war.;Des terrains d'entraînement où les troupes du château veut s'exercer et se préparer à une guerre inévitable.;Übungsplätze, auf denen das Burgheer üben und sich auf den unvermeidlichen Krieg vorbereiten kann.;;Campos de entrenamiento donde las levas del castillo pueden practicar y prepararse para la inevitabilidad de la guerra. ;;;;;;;;;x
