#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;Ist nicht ruchlos;;No es malvado;;;;;;;;;x
EVTDESC_RIP_4001;Something very strange is happening in the county of [dancing_plague_outbreak_location.GetName]. It all started with one peasant dancing in the streets, but soon there were dozens of them, and now there are hundreds - men, women and children alike! Musicians are playing joyous tunes all day and all night and the peasants barely have time to eat or sleep. The dancing has gone on for days and people have started to collapse from exhaustion.\n\nIt seems as if the dancing is spreading at an alarming rate, with groups of dancing people setting off in the direction of other towns.;Il se passe quelque chose de très étrange dans la contrée de [dancing_plague_outbreak_location.GetName]. Tout a commencé alors qu'un paysan a été aperçu en train de danser dans les rues. Bientôt, ils étaient des douzaines et maintenant, il y a des centaines d'hommes, de femmes et même d'enfants qui se prêtent à la danse! Les musiciens jouent des airs gais jour et nuit alors que les paysans prennent à peine le temps de manger et de dormir. La danse se prolonge depuis quelques jours déjà et certains se sont effondrés d'épuisement.\n\n L'engouement de cette danse est inquiétant, car des petits groupes ont quitté les lieux en direction des autres villages.;In der Provinz [dancing_plague_outbreak_location.GetName] spielen sich merkwürdige Dinge ab. Zuerst tanzte nur ein einziger Bauer auf der Straße, aber schon bald waren es Dutzende, und inzwischen sind es sogar Hunderte: Männer, Frauen und Kinder! Musikanten spielen Tag und Nacht beschwingte Weisen und die Bauern haben kaum Zeit, zu essen oder zu schlafen. Die Tänze halten nun schon tagelang an und viele Tänzer brachen vor Erschöpfung zusammen.\n\nDie Tanzwut scheint sich mit erschreckender Geschwindigkeit auszubreiten, und Tänzergruppen tanzen in die Richtung anderer Dörfer.;;Algo muy extraño está ocurriendo en la provincia de [dancing_plague_outbreak_location.GetName]. Todo empezó con un campesino bailando en la calle, pero muy pronto hubo docenas de ellos y ahora hay centenares, ¡hombres, mujeres y niños por igual! Músicos interpretan temas alegres de día y de noche y los campesinos apenas tienen tiempo para comer o dormir. El baile se ha prolongado durante días y la gente ha empezado a desmayarse de agotamiento.\n\nParecería que el baile se extienda a una velocidad alarmante, con grupos de bailarines dirigiéndose a otros pueblos.;;;;;;;;;x
join_in_dance;Join the peasant's dance!\n;Se joint à la danse paysanne !\n;Tanzt mit den Bauern!\n;;¡Unirte al baile de los campesinos!\n;;;;;;;;;x
refuse_to_join_in_dance;Get some rest\n;Se repose\n;Ruht Euch aus\n;;Descansar un poco\n;;;;;;;;;x
dancing_queen;Dancing Queen;Reine de la danse;Tanzende Königin;;La Reina del baile;;;;;;;;;x
dancing_king;Dancing King;Dieu de la danse;Tanzender König;;El Rey del baile;;;;;;;;;x
cant_stop_dancing;Can't Stop Dancing;Esclave du rythme;Kann nicht aufhören, zu tanzen;;No puede dejar de bailar;;;;;;;;;x
cant_stop_dancing_desc;This character can't stop moving [GetHerHis] arms and legs! Unable to eat or sleep, this character is close to death.;Cette personne ne parvient pas à cesser de bouger les bras et les jambes! Incapable de se reposer ou de se nourrir, elle risque d'en succomber.;Diese Person kann einfach nicht stillhalten! Da sie nicht im Stande ist, zu essen oder zu schlafen, wird sie bald sterben.;;¡Este personaje no puede parar [GetHerHis] brazos y piernas! Incapaz de comer o dormir, este personaje está a punto de morir.;;;;;;;;;x
TOOLTIP_DISALLOW_FEMALE_COMMANDERS;Disallows female commanders\n;Permet aux femmes de commander les armées\n;Duldet keine weiblichen Befehlshaber\n;;No permite mujeres comandantes.\n;;;;;;;;;x
TOOLTIP_ALLOW_FEMALE_COMMANDERS;Allows female commanders\n;Interdit le commandement des armées aux femmes\n;Duldet weibliche Befehlshaber\n;;Permite mujeres comandantes.\n;;;;;;;;;x
nomad_agitation;Nomad Agitation;Nomades agités;Aufgebrachte Nomaden;;Inquietud nómada;;;;;;;;;x
nomad_agitation_desc;This county used to belong to free-spirited nomads. The formerly nomadic population of the county is displeased with having to stay in one place.;Cette province était anciennement le territoire de nomades épris de liberté. Cette populace est contrariée par sa sédentarisation.;Diese Provinz gehörte früher freidenkerischen Nomaden. Die einstmalig nomadische Bevölkerung der Provinz ist aufgebracht darüber, an nur einem Ort verbleiben zu müssen.;;Esta provincia solía pertenecer a nómadas de espíritu libre. La antigua población nómada está disgustada por tener que permanecer en un mismo lugar.;;;;;;;;;x
EVTDESC_HL_4997;As your predecessor was unable to construct enough holdings to rein in the nomadic population of [new_nomad_province.GetName], you had no choice but to see them secede from your realm. [new_nomad.GetFirstName] and [new_nomad.GetHerHis] [new_nomad_province.Culture.GetName]s now rule the area.;Puisque votre prédécesseur a été incapable de construire assez de propriétés pour contenir la population nomade en [new_nomad_province.GetName], vous n'avez d'autre choix que de reconnaître leur autonomie. [new_nomad.GetFirstName] et la population [new_nomad_province.Culture.GetName] gouvernent dorénavant cette région.;Da Euer Vorgänger es nicht geschafft hat, genügend Liegenschaften einzurichten, um die nomadische Bevölkerung von [new_nomad_province.GetName] unter Kontrolle zu halten, hattet Ihr keine andere Wahl, als dabei zuzusehen, wie sie sich von Eurem Reich abspalteten. [new_nomad.GetFirstName] herrscht nun mit den [new_nomad_province.Culture.GetName]en über das Gebiet.;;Como tu predecesor fue incapaz de construir suficientes alojamientos para controlar a la población nómada de [new_nomad_province.GetName], no tuviste más opción que dejar que se escindieran de tu reino. [new_nomad.GetFirstName] y [new_nomad.GetHerHis]s [new_nomad_province.Culture.GetName]s ahora gobiernan el área.;;;;;;;;;x
NOMADSLEAVINGTITLE;Rebellious [new_nomad_province.Culture.GetName]s;Rébellion [new_nomad_province.Culture.GetName];Rebellischer Stamm der [new_nomad_province.Culture.GetName]en;;[new_nomad_province.Culture.GetName]s rebeldes;;;;;;;;;x
worship_cooldown_tooltip;Has not performed a sacrifice to the ancestors in the last 10 years.;N'a pas accompli de sacrifice aux ancêtres durant ces dix dernières années.;Hat den Ahnen in den letzten 10 Jahren keine Opfer dargebracht.;;No ha realizado un sacrificio a los antepasados en los últimos 10 años.;;;;;;;;;x
SHIA_CUSTOM_FALLBACK;[Root.Capital.County.GetName];[Root.Capital.County.GetName];[Root.Capital.County.GetName];;[Root.Capital.County.GetName];;;;;;;;;x
RULE_CULTURE_CONVERSION;Culture Conversion;Conversion culturelle;Kulturumwandlung;;Conversión cultural;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS;Faster Melting Pots;Assemblage favorisé;Schnellere Schmelztiegel;;Crisoles más rápidos;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL;Slower Conversion;Conversion lente;Langsamere Umwandlung;;Conversión más lenta;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL;Combination;Hybride;Kombination;;Combinación;;;;;;;;;x
RULE_CULTURE_CONVERSION_DEFAULT_DESC;Culture will convert at the default rate.;Évolution par défaut;Kultur wird mit Standardgeschwindigkeit umgewandelt.;;La cultura se convertirá a la velocidad por defecto.;;;;;;;;;x
RULE_CULTURE_CONVERSION_RESTRICTED_DESC;Culture will not spread into counties which do not border a county of the same culture, unless it is a port.;Une culture ne se répandra pas dans une province qui n'est pas bordée par au moins une autre province de cette même culture, sauf pour les provinces portuaires.;Kultur breitet sich nicht in Provinzen aus, die nicht an Provinzen derselben Kultur angrenzen, es sei denn, es handelt sich um einen Hafen.;;La cultura no se extenderá a las provincias que no tengan por frontera una provincia de la misma cultura, a menos que sea un puerto.;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_DESC;Melting Pot cultures will appear at an increased rate, i.e. English, Swedish and Russian.;Les cultures considérées comme un assemblage (soit les Anglais, les Suédois et les Russes) vont apparaître à un ryhtme plus élevé.;Schmelztiegelkulturen erscheinen häufiger, d.h. Englisch, Schwedisch und Russisch.;;Las culturas de crisol aparecerán a un ritmo mayor, p.ej., inglesa, sueca y rusa.;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL_DESC;Base Culture Conversion chance is reduced by a factor of three.;La probabilité de conversion culturelle est divisée par trois par rapport à la normale;Basiswahrscheinlichkeit von Kulturumwandlung wird um das Dreifache reduziert.;;La posibilidad de conversión de la cultura base se reduce en un factor de tres.;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL_DESC;Melting Pot cultures will appear at an increased rate, spread is restricted AND base Culture Conversion chance is reduced.;Les cultures anglaises, suédoises et russes vont apparaître plus rapidement, la propagation culturelle est restreinte et la probabilité de conversion est réduite.;Schmelztiegelkulturen erscheinen häufiger, die Ausbreitung ist eingeschränkt UND die Basiswahrscheinlichkeit von Kulturumwandlung ist reduziert.;;Las culturas de crisol aparecerán a un ritmo mayor, la expansión está restringida Y se reduce la posibilidad de conversión de la cultura base.;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION;Religious Conversion Speed;Vitesse de conversion religieuse;Geschwindigkeit religiöser Konversion;;Velocidad de conversión religiosa;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_SLOWER;Slower;Plus lente;Langsamer;;Más lenta;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_DEFAULT_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is unchanged.;La vitesse à laquelle une province est convertie grâce à l'action 'Faire du prosélytisme' demeure la même.;Die Geschwindigkeit, mit der Provinzen durch den Bekehren-Beruf konvertiert werden, bleibt unverändert.;;"La velocidad de conversión de las provincias usando la acción de trabajo de proselitismo"" no ha cambiado.""";;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_SLOWER_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is reduced by a factor of three.;La vitesse à laquelle une province est convertie grâce à l'action 'Faire du prosélytisme' est réduite au tiers.;Die Geschwindigkeit, mit der Provinzen durch den Bekehren-Beruf konvertiert werden, wird um das Dreifache reduziert.;;"La velocidad de conversión de las provincias usando la acción de trabajo de proselitismo"" se reduce en un factor de tres.""";;;;;;;;;x
symptom_treatment_1;Minor Symptom Treatment;Traitement mineur;Geringfügige Behandlung der Symptome;;Tratamiento menor de síntomas;;;;;;;;;x
symptom_treatment_1_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_2;Decent Symptom Treatment;Traitement correct;Ausreichende Behandlung der Symptome;;Tratamiento decente de síntomas;;;;;;;;;x
symptom_treatment_2_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_3;Good Symptom Treatment;Bon traitement;Gute Behandlung der Symptome;;Buen tratamiento de síntomas;;;;;;;;;x
symptom_treatment_3_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
symptom_treatment_4;Excellent Symptom Treatment;Excellent traitement;Ausgezeichnete Behandlung der Symptome;;Tratamiento excelente de síntomas;;;;;;;;;x
symptom_treatment_4_desc;Medical treatment can reduce or remove the effects of illnesses.;Un traitement médical peut réduire voire éliminer les effets des maladies.;Eine medizinische Behandlung kann die Auswirkungen von Krankheiten lindern oder heilen.;;Tratamiento médico que puede reducir o eliminar los efectos de las enfermedades.;;;;;;;;;x
remaining_food;Remaining Food;Nourriture restante;Verbleibende Nahrung;;La comida restante;;;;;;;;;x
tiny_food_shortage;Trivial Food Shortage;Apport en vivres restreint;Unbedeutende Lebensmittelknappheit;;Escasez de comida nimia;;;;;;;;;x
minor_food_shortage;Minor Food Shortage;Légère pénurie de vivres;Geringe Lebensmittelknappheit;;Escasez de comida menor;;;;;;;;;x
normal_food_shortage;Food Shortage;Disette;Lebensmittelknappheit;;Escasez de comida;;;;;;;;;x
starving_food_shortage;Starving!;Famine!;Hungersnot!;;¡Pasando hambre!;;;;;;;;;x
greedy_food_shortage;Greedy;Gourmandise;Gierig;;Glotón;;;;;;;;;x
tiny_food_shortage_desc;This character is suffering slightly due to a lack of food.;Ce personnage n'a pas tout à fait mangé à sa faim;Diese Person leidet geringfügig unter einer Lebensmittelknappheit.;;Este personaje sufre ligeramente debido a la falta de comida.;;;;;;;;;x
minor_food_shortage_desc;This character is suffering due to a lack of food.;Ce personnage souffre d'un manque de nourriture.;Diese Person leidet unter einer Lebensmittelknappheit.;;Este personaje sufre debido a la falta de comida.;;;;;;;;;x
normal_food_shortage_desc;This character is suffering heavily due to a lack of food.;Ce personnage souffre beaucoup du manque de nourriture.;Diese Person leidet schwer unter einer Lebensmittelknappheit.;;Este personaje sufre mucho debido a la falta de comida.;;;;;;;;;x
starving_food_shortage_desc;This character is starving.;Ce personnage est affamé.;Diese Person ist am Verhungern.;;Este personaje está pasando hambre.;;;;;;;;;x
greedy_food_shortage_desc;This character has eaten more than their fair share of food.;Ce personnage a mangé une plus grande part que ce qu'un partage équitable lui permettrait.;Diese Person hat mehr gegessen, als ihr zusteht.;;Este personaje ha comido más de su ración de comida.;;;;;;;;;x
hospital_building_1;Sick House;Maison de malades;Krankenhaus;;Casa de salud.;;;;;;;;;x
hospital_building_1_desc;A basic building to house the sick.;Un bâtiment basique pour héberger les malades.;Ein gewöhnliches Haus zur Unterbringung von Kranken.;;Un edificio básico para alojar enfermos.;;;;;;;;;x
hospital_building_2;Expanded Sick House;Grande maison de malades;Erweitertes Krankenhaus;;Casa de salud extendida.;;;;;;;;;x
hospital_building_2_desc;An expanded building to house more patients.;Un bâtiment plus grand pour héberger plus de malades.;Ein erweitertes Krankenhaus für eine größere Anzahl an Patienten.;;Un edificio aumentado para alojar a más pacientes.;;;;;;;;;x
hospital_building_3;Separated Wards;Pavillons séparés;Getrennte Krankenstationen;;Salas separadas;;;;;;;;;x
hospital_building_3_desc;Treatment can be made more efficient by separating the sick based on their type of ailment.;Le traitement peut être rendu plus efficace en séparant les malades selon leur maladie.;Wenn die Kranken abhängig von ihrem Leiden in unterschiedlichen Stationen untergebracht werden, verläuft die Behandlung effizienter.;;El tratamiento puede ser más eficiente separando a los enfermos según el tipo de enfermedad.;;;;;;;;;x
hospital_building_4;Extended Wards;Pavillons agrandis;Erweiterte Krankenstationen;;Salas aumentadas;;;;;;;;;x
hospital_building_4_desc;Larger wards to treat more patients.;Des pavillons plus larges pour traiter plus de patients.;Größere Krankenstationen für die Unterbringung von mehr Kranken.;;Salas mayores para tratar a más pacientes.;;;;;;;;;x
hospital_building_5;Extensive Hospital Complex;Complexe hospitalier;Ausgedehnte Hospitalanlage;;Complejo hospitalario extendido;;;;;;;;;x
hospital_building_5_desc;An extensive project of rebuilding to expand and rationalize the layout of the hospital.;Un vaste projet de reconstruction afin d'élargir et de rationaliser l'agencement de l'hôpital.;Ein umfangreiches Umbauprojekt, um das bestehende Krankenhaus zu erweitern und effizienter zu machen.;;Un proyecto importante de reconstrucción para aumentar y racionalizar la distribución del hospital.;;;;;;;;;x
leper_colony_1;Leper Colony;Léproserie;Leprakolonie;;Leprosería.;;;;;;;;;x
leper_colony_building_desc;By isolating the sick the general population feels safer. Out of sight, out of mind.;En isolant les malades, la population générale est moins inquiète. Hors de la vue, hors de l'esprit.;Die Kranken zu isolieren sorgt dafür, dass sich die Bevölkerung sicherer fühlt. Aus den Augen, aus dem Sinn.;;Al aislar a los enfermos, la población en general se siente más segura. Ojos que no ven, corazón que no siente.;;;;;;;;;x
ravager_desc;This character is widely known as a fearsome Ravager, a Viking few have fought and lived.;Ce personnage est réputé être un redoutable Ravageur, l'un de ces vikings dont peu de ses adversaires au combat ont survécu.;Diese Person ist weithin als ein furchterregender Verwüster bekannt. Nur wenige Wikinger kehrten lebend aus einem Kampf gegen sie zurück.;;Este personaje es muy conocido por ser un terrible asaltante, un vikingo con el que pocos han luchado y sobrevivido.;;;;;;;;;x
death_text_default;Although not especially blessed, we hope [GetFirstName] will find peace in the afterlife;Bien que n'ayant pas particulièrement fait preuve de dévotion, nous espérons que [GetFirstName] trouvera la paix dans l'au-delà;[GetFirstName] war zwar nicht immer vom Glück verwöhnt, wird aber hoffentlich trotzdem Frieden im Jenseits finden.;;Aunque no fue especialmente bendecido, esperamos que [GetFirstName] encuentre paz en la otra vida.;;;;;;;;;x
death_text_neutral;Although not especially blessed, we hope [GetFirstName] will find peace in the afterlife;C'est au terme d'une existence mesurée que [GetFirstName] nous quitte en quête du repos éternel.;[GetFirstName] war zwar nicht immer vom Glück verwöhnt, wird aber hoffentlich trotzdem Frieden im Jenseits finden.;;Aunque no fue especialmente bendecido, esperamos que [GetFirstName] encuentre paz en la otra vida.;;;;;;;;;x
death_text_lustful;Well-known to be prone to carnal sins, [GetSheHe] was often unfaithful to [GetHerHis] [GetHusbandWifeOpp]. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Réputé[GetNoneE] pour ses péchés charnels, [GetSheHe] a souvent trompé [GetHerHisOpp] [GetHusbandWifeOpp]. [GetFirstName] va certainement récolter le salaire de son vice dans l'au-delà;[GetFirstName] war den Fleischeslüsten bekanntermaßen nie abgeneigt und beging zahlreiche Ehebrüche. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Bien conocido por su propensión a los pecados carnales, [GetSheHe] fue a menudo infiel a [GetHerHis] [GetHusbandWifeOpp]. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_gluttonous;Known to be Gluttonous, [GetSheHe] was constantly eating and rather overweight. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Poussant la gourmandise jusqu'à la plus abjecte gloutonnerie, [GetSheHe] s'empiffrait constamment et en était obèse. [GetFirstName] aura l'occasion d'expier ce péché capital dans l'au-delà;[GetFirstName] war kulinarischen Genüssen stets zugeneigt, aß unaufhörlich und war recht übergewichtig. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Conocido por ser Glotón/Glotona, [GetSheHe] estaba comiendo continuamente y tenía bastante sobrepeso. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_greedy;A Greedy [GetManWoman], [GetSheHe] often remarked on the need to tax [GetHerHis] people into space. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Rongé[GetNoneE] par l'avarice, [GetSheHe] se distinguait par l'impressionnant fardeau des taxes imposées à son peuple. La fortune de [GetFirstName] ne lui sera d'aucun secours dans l'au-delà;[GetFirstName] war von Gier zerfressen und hätte die Untertanen am liebsten zu Tode besteuert. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Un [GetManWoman] Codicioso/a, a menudo afirmaba la necesidad de gravar a [GetHerHis] gente hasta el límite. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_slothful;Prone to Sloth, [GetSheHe] never did anything [GetSheHe] did not have to. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Célèbre pour son penchant vers la paressse, [GetSheHe] n'a jamais entrepris que ce qui était absolument nécessaire. Les péchés de [GetFirstName] viendront certainement troubler son repos éternel;[GetFirstName] war überaus faul und tat selten mehr als absolut notwendig. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Dado/a a la Pereza, [GetSheHe] nunca hizo nada a lo que [GetSheHe] no estuviera obligado/a. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_envious;Ever Envious, [GetSheHe] always wanted what other people had. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Vert[GetNoneE] de jalousie, [GetSheHe] enviait tout à chacun. [GetFirstName] va certainement payer pour ses péchés dans l'au-delà;[GetFirstName] war von Neid erfüllt und begehrte stets das Hab und Gut anderer. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Envidioso/a, [GetSheHe] siempre quiso lo que tenían los demás. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_wroth;A Wroth [GetManWoman], people feared to cross [GetHerHim] - or even bring bad news. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;On craignait d'être porteur de mauvaises nouvelles, tant ses colères ont marqué les esprits. [GetFirstName] ne connaîtra la paix dans l'au-delà qu'en expiant ce vice.;[GetFirstName] war hitzköpfig und versetzte andere mit Zornausbrüchen in Angst und Schrecken. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;[GetManWoman] con Ira, la gente siempre temía cruzarse con él o incluso darle malas noticias. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_proud;Guilty of the sin of Pride, [GetSheHe] wanted everyone to know of [GetHerHis] greatness. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Coupable du péché d'orgueil, [GetSheHe] tenait à étaler sa grandeur au monde. [GetFirstName] va payer pour ses vices dans l'au-delà;[GetFirstName] war von unbändigem Stolz zerfressen und wollte alle anderen in den Schatten stellen. Für diese abscheulichen Sünden wird [GetSheHe] im Jenseits sicherlich büßen müssen.;;Culpable del pecado del Orgullo, [GetSheHe] quería que todo el mundo supiera [GetHerHis] grandeza. [GetManWoman] perverso/a, [GetFirstName] seguramente pague por [GetHerHis] pecados en la otra vida.;;;;;;;;;x
death_text_chaste;A Chaste [GetManWoman], [GetHerHis] honor was beyond refute. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;En tant que personne chaste, personne n'a pu médire au sujet de sa Vertu. [GetFirstName] a maintenant rejoint [Religion.GetRandomGodName];[GetFirstName] war keusch und ehrenvoll. Im Leben von Gottesfürchtigkeit erfüllt, ist [GetSheHe] im Jenseits nun auf alle Zeiten mit [Religion.GetRandomGodName] vereint.;;[GetManWoman] Casto/a, [GetHerHis] honore estaba más allá de toda duda. [GetManWoman] piadoso/a, [GetFirstName] ahora está con [Religion.GetRandomGodName].;;;;;;;;;x
death_text_temperate;Ever Temperate, [GetSheHe] never let [GetHerHis] base urges get the better of [GetHerHim]. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Toujours tempéré[GetNoneE], [GetSheHe] a toujours su garder le contrôle de ses pulsions. Qu'il plaise à [Religion.GetRandomGodName] de l'accueillir dans le repos éternel;[GetFirstName] war stets gemäßigt und gab sich niemals niederen Gelüsten hin. Im Jenseits ist [GetSheHe] nun auf alle Zeiten mit [Religion.GetRandomGodName] vereint.;;Siempre Moderado/a, [GetSheHe] nunca dejó que [GetHerHis] impulsos básicos le dominasen. [GetManWoman] piadoso/a, [GetFirstName] ahora está con [Religion.GetRandomGodName].;;;;;;;;;x
death_text_charitable;Well-known to be Charitable, [GetSheHe] freely gave money to [GetHerHis] friends and family. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Réputé[GetNoneE] pour son tempérament charitable, [GetHeShe] couvrait de ses largesses ses proches et sa famille. Il ne fait nul doute que [GetFirstName] a su trouvé [Religion.GetRandomGodName] dans l'au-delà;[GetFirstName] war überaus wohltätig und bedachte Freunde und Verwandte freigiebig mit Geld. Im Jenseits ist [GetSheHe] nun auf alle Zeiten mit [Religion.GetRandomGodName] vereint.;;Bien conocido por ser Caritativo/a, [GetSheHe] daba libremente dinero a [GetHerHis] amigos y familia. [GetManWoman] piadoso/a, [GetFirstName] ahora está con [Religion.GetRandomGodName].;;;;;;;;;x
death_text_diligent;A shining example of Diligence, [GetHerHis] duty was never neglected. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Brillant exemple de diligence, [GetSheHe] a toujours rempli ses engagements et honorés ses devoirs. Une pareille dévotion ne peut qu'assurer à [GetFirstName] une place auprès de [Religion.GetRandomGodName];[GetFirstName] war unglaublich fleißig und vernachlässigte niemals die Pflicht. Im Jenseits ist [GetSheHe] nun auf alle Zeiten mit [Religion.GetRandomGodName] vereint.;;Un ejemplo brillante de Diligencia, nunca abandonó [GetHerHis] deber. [GetManWoman] piadoso/a, [GetFirstName] ahora está con [Religion.GetRandomGodName].;;;;;;;;;x
