#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MAX_NR_OF_CLANS;Max Number of Clans;Nombre maximal de Clans;Max. Anzahl an Klans;;Número máximo de clanes;;;;;;;;;x
CURRENT_CLANS;Current Clans;Clans actuels;Aktuelle Zahl der Klans;;Clanes actuales;;;;;;;;;x
POPULATION_BREAKDOWN;Current Population Breakdown;Répartition de la population;Aktuelle Bevölkerungsaufschlüsselung;;Actual distribución de la población;;;;;;;;;x
STAT_POPULATION_DESC;This is the nomadic population of your realm. Each month, it will increase or decrease towards your §YMaximum Population§!, which is determined by the number of empty holdings in the counties you personally hold. The current §YPopulation§! is used to calculate your §YMaximum Manpower§!, and is also along with §YUnused Manpower§! used to calculate your monthly §YNomadic Tax§!.;Voici la population nomade de vos États. Au fil des mois, elle va tendre vers votre §YPopulation maximale§!, qui est déterminée par le nombre de fiefs vides dans les comtés vous appartenant en propre. La §YPopulation§! influence votre §YEffectif§!. De plus, votre §!Impôt§! mensuel découle de votre §YPopulation§! ainsi que de votre §YEffectif§! inutilisée.;Dies ist die Nomadenbevölkerung Eures Reiches. Sie steigt oder fällt jeden Monat relativ zur §YMaximalbevölkerung§!, die sich aus der Zahl der leeren Liegenschaften in den Provinzen Eures persönlichen Besitzes ergibt. Die aktuelle §YBevölkerung§! wird herangezogen, um die §YMaximale Mannstärke§! zu ermitteln. Außerdem dient sie zusammen mit der §YFreien Mannstärke§! als Grundlage für die Berechnung der monatlichen §YNomadensteuer§!.;;Esta es la población nómada de tu reino. Cada mes, aumentará o disminuirá hacia tu §YPoblación Máxima §!, que está determinada por el número de posesiones vacías en los condados que posees personalmente. §YLa población§! actual se usa para calcular tu §YMano de obra máxima§!, y también se emplea junto con §Yla Mano de obra no usada§! para calcular tu §YImpuesto nómada mensual§!.;;;;;;;;;x
#LAND_OF_CLAN;§YProvinces held by Clan $CLAN$§!;§YProvinces détenues par le Clan $CLAN$§!;§YProvinzen unter der Kontrolle von Klan $CLAN$§!;;§YProvincias ocupadas por el clan $CLAN$§!;;;;;;;;;x
TR_SILK_ROAD_1_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y100§! contains a §YSilk Road Trade Post§!, §YSilk Road Market§! or §YMajor Silk Road City§!.;Aucun §Ycomptoir commercial§!, §Ymarché§! ou §Ygrande ville de la Soie§! dans un rayon de §Y100§!.;Keine andere Seidenstraßenprovinz innerhalb einer Entfernung von §Y100§! besitzt einen §YHandelsposten an der Seidenstraße§!, einen §YMarkt an der Seidenstraße§! oder eine §YWichtige Stadt an der Seidenstraße§!.;;Ninguna otra provincia de ruta de la seda a una distancia de §Y100§! contiene un §Ypuesto comercial de la Ruta de la seda§!, un §Ymercado de la Ruta de la seda§! o una §Yciudad principal de la Ruta de la seda§!.;;;;;;;;;x
TR_SILK_ROAD_2_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y200§! contains a §YSilk Road Market§! or §YMajor Silk Road City§!.;Aucun §Ycomptoir commercial§!, §Ymarché§! ou §Ygrande ville de la Soie§! dans un rayon de §Y200§!.;Keine andere Seidenstraßenprovinz innerhalb einer Entfernung von §Y200§! besitzt einen §YMarkt an der Seidenstraße§! oder eine §YWichtige Stadt an der Seidenstraße§!.;;Ninguna otra provincia de ruta de la seda a una distancia de §Y200§! contiene un §Ymercado de la Ruta de la seda§! o una §Yciudad principal de la Ruta de la seda§!.;;;;;;;;;x
TR_SILK_ROAD_3_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y500§! contains a §YMajor Silk Road City§!.;Aucun §Ycomptoir commercial§!, §Ymarché§! ou §Ygrande ville de la Soie§! dans un rayon de §Y500§!.;Keine andere Seidenstraßenprovinz innerhalb einer Entfernung von §Y500§! besitzt eine §YWichtige Stadt an der Seidenstraße§!.;;Ninguna otra provincia de ruta de la seda a una distancia de §Y500§! contiene un §Ymercado de la Ruta de la seda§! o una §Yciudad principal de la Ruta de la seda§!.;;;;;;;;;x
STAT_MANPOWER_DESC;Manpower is an important part of a nomadic realm, as it is used both to recruit hordes and to reinforce them. Each month, it will increase or decrease towards your §YMaximum Manpower§!, determined by the current §YPopulation§!. You cannot recruit hordes to go above this limit, and you should make sure you have enough §YUnused Manpower§! to reinforce your horde when needed. Your §YUnused Manpower§! is also part of the calculation of your monthly §YNomadic Tax§!, along with the §YPopulation§!. Additionally, your §YUnused Manpower§! will contribute to the strength of the §YGarrison§! in your capital.;Les effectifs sont une composante cruciale d'une contrée nomade, puisqu'ils conditionnent le recrutement des hordes et leurs renforts. Chaque mois, les effectifs vont tendre vers l'§Yeffectif maxmal§!, déterminé par la §Ypopulation§!. Vous ne pouvez recruter des hordes au-delà de vos effectifs et vous devriez vous assurer d'avoir suffisamment d'§Yeffectifs inutilisés§! pour combler vos pertes au besoin. Ces derniers entrent également, avec la §Ypopulation§!, dans le calcul de l'§Yimpôt§!. De plus, les §Yeffectifs inutilisés§! vont permettre d'améliorer la §Ygarnison§! de votre capitale.;Mannstärke spielt für das Nomadenreich eine wichtige Rolle, denn sie wird für die Rekrutierung und für den Nachschub von Horden verwendet. Die Mannstärke steigt oder fällt jeden Monat relativ zur §YMaximalen Mannstärke§!, die sich aus der aktuellen §YBevölkerung§! errechnet. Ihr könnt keine Horden rekrutieren, um diese Grenze zu überschreiten, und Ihr müsst darauf achten, im Bedarfsfall genug §YFreie Mannstärke§! für das Auffüllen der Horde zu haben. §YFreie Mannstärke§! und §YBevölkerung§! sind außerdem ein Faktor bei der Berechnung Eurer monatlichen §YNomadensteuer§!-Einnahmen. Daneben trägt Eure §YFreie Mannstärke§! zur Stärke der §YGarnison§! in Eurer Hauptstadt bei.;;La mano de obra es una parte importante de un reino de nómadas, pues se utiliza para reclutar hordas y reforzarlas. Cada mes, aumentará o disminuirá hacia tu §YMano de obra Máxima§!, determinado por §Yla población§! actual. No puedes contratar hordas que superen este límite, y debes asegurarte de tener suficiente §Ymano de obra no utilizadas§! para reforzar tu horda cuando sea necesario. Tu §Ymano de obra no utilizada§! es también parte del cálculo de tu §Yimpuesto de nómadas§! mensual, junto con la §YPoblación§!. Además, tu §YMano de obra no utilizada§! contribuirá a la fuerza de la §YGuarnición§! de tu capital.;;;;;;;;;x
NOMAD_LAND_OVERRUN_GENERIC_DESC;If the Khagan holds too much land compared to the other Clans, it will affect their §YClan Sentiments§!, and there might even be risk of a §YMinor Clan Rising§! revolt, in which a minor clan rises and attempts to seize its rightful position among the major Clans...;Si le Khagan s'arroge trop de terres en comparaison avec les autres Clans, cela portera atteinte aux §Ysentiments des Clans§!, en plus de risquer qu'un §Yclan mineur§! Profite de la situation pour se révolter et tenter de se tailler une place auprès des §YClans principaux§!...;Wenn der Khagan im Verhältnis zu den anderen Klans zu viel Land besitzt, beeinträchtigt dies die §YKlanmeinungen§! und es besteht das Risiko eines §YAufstands eines kleineren Klans§!. Bei dieser Form von Revolte erhebt sich einer der kleineren Klans, um seinen rechtmäßigen Platz an der Seite der Hauptklans einzufordern...;;Si el kagan tiene demasiada tierra en comparación con los otros clanes, afectarán a su §sentimiento de clan§!, e incluso podría haber el riesgo de una §Yrevuelta de clan menor§!, en la que un clan menor se levanta y trata de reclamar su posición legítima entre los principales clanes...;;;;;;;;;x
RETINUE_COST;Retinues: §R-$VALUE$§!;Garde : §R-$VALUE$§!;Gefolge: §R-$VALUE$§!;;Séquito: §R-$VALUE$§!;;;;;;;;;x
INTERACTION_NOT_AT_MAX_CLAN_SIZE;Has not reached the Maximum Clan Size.;N'a pas atteint la taille de clan maximale;Hat die Maximale Klangröße nicht erreicht;;No ha alcanzado el tamaño máximo de clan.;;;;;;;;;x
HORDE_RETTYPE_CAV5;Light Vanguard;Avant-garde légère;Leichte Vorhut;;Vanguardia ligera;;;;;;;;;x
HORDE_RETTYPE_CAV6;Heavy Vanguard;Avant-garde lourde;Schwere Vorhut;;Vanguardia pesada;;;;;;;;;x
TT_NOT_SAME_REALM;Is NOT in own realm;N'est pas dans sa contrée;Ist NICHT innerhalb des eigenen Reichs;;No está en el mismo reino;;;;;;;;;x
NOMAD_CONVERSION_TROOP_SPAWN;Your horde troops will be disbanded and you will instead gain troops proportional to the land you're abandoning on the steppe.\n;Votre horde sera démantelée et vous obtiendrez à sa place des troupes proportionnellement aux terres que vous abandonnez à la steppe.\n;Anstelle Eurer Hordentruppen, die aufgelöst werden, erhaltet Ihr Truppen, deren Anzahl proportional zur Größe der Gebiete ist, die Ihr in der Steppe aufgebt.\n;;Las tropas de tu horda serán licenciadas y a cambio ganarás tropas proporcional a la tierra que abandonas en la estepa.\n;;;;;;;;;x
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YSilk Road§!\nThe Silk Road brings trade through this province.\n;\n§YRoute de la soie§!\nLa route de la soie emprunte cette province, faisant profiter son commerce.\n;\n§YSeidenstraße§!\nDie Seidenstraße bringt Handel in diese Provinz.\n;;\n§YLa Ruta de la seda\n La Ruta de la seda trae comercio a través de esta provincia. \n;;;;;;;;;x
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YSilk Road§!\n§RWar is blocking this part of the Silk Road. Provinces that are occupied or besieged will block the Silk Road downstream.§!\n;\n§YRoute de la soie§!\n§RLa guerre a interrompu la route de la soie. Les provinces en proie aux sièges ou à l'occupation provoquent une interruction du trafic commercial en aval.§!\n;\n§YSeidenstraße§!\n§RDieser Teil der Seidenstraße ist durch einen Krieg blockiert. Besetzte oder belagerte Provinzen unterbrechen die Seidenstraße.§!\n;;\n§YLa ruta de la seda\n§RLa guerra está bloqueando esta parte de la Ruta de la seda. Las provincias que están ocupadas o sitiadas, bloquean la Ruta de la Seda corriente abajo.;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nThe Silk Road gives the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road provinces increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.;\nLa route de la soie procure les effets suivants :\n$MODIFICATEURS$\n\nLes comptoirs commerciaux le long de la route de la soie augmente le modification de toutes les provinces. Si la route de la soie est interrompu par un siège où l'occupation d'une province, d'autres provinces obtiendront un bonus temporaire suite à la réorientation du commerce.;\nDie Seidenstraße erzeugt folgende Effekte:\n$MODIFIER$\n\nIn Seidenstraßenprovinzen gebaute Handelsposten erhöhen den Modifikator aller Provinzen. Wenn einige Provinzen der Seidenstraße blockiert sind (besetzt sind oder belagert werden), erhalten andere Seidenstraßenprovinzen vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nLa Ruta de la seda da los siguientes efectos:\n$MODIFIER$\n\nPuestos comerciales en las provincias de la Ruta de la seda aumentan el modificador para todas las provincias. Si algunas provincias de la Ruta de la seda están bloqueadas (por asedio u ocupación), otras provincias de la Ruta de la seda obtendrán una mayor bonificación temporal al redirigirse el comercio.;;;;;;;;;x
INACTIVE_TRADE_ROUTE_MODIFIER;\nIf active, the Silk Road would give the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road provinces increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.;\nLorsqu'active, la route de la soie procure les effets suivants :\n$MODIFICATEURS$\n\nLes comptoirs commerciaux le long de la route de la soie augmente le modification de toutes les provinces. Si la route de la soie est interrompu par un siège où l'occupation d'une province, d'autres provinces obtiendront un bonus temporaire suite à la réorientation du commerce.;\nDie Seidenstraße hätte in aktivem Zustand folgende Effekte:\n$MODIFIER$\n\nIn Seidenstraßenprovinzen gebaute Handelsposten erhöhen den Modifikator aller Provinzen. Wenn einige Provinzen der Seidenstraße blockiert sind (besetzt sind oder belagert werden), erhalten andere Seidenstraßenprovinzen vorübergehend einen höheren Bonus, da der Handel umgeleitet wird.;;\nSi está activo, la Ruta de la seda te daría los siguientes efectos:\n$MODIFIER$\n\nPuestos comerciales en las provincias de la Ruta de la seda aumentan el modificador para todas las provincias. Si algunas provincias de la Ruta de la seda están bloqueadas (por asedio u ocupación), otras provincias de la Ruta de la seda obtendrán una mayor bonificación temporal al redirigirse el comercio.;;;;;;;;;x
MAPMODE_TRADE_ZONES_DESC;All Trade Zones, separated by their owners. Provinces on the Silk Road are shown striped in yellow if active or red if blocked by siege or occupation.;Les zones commerciales, regroupées selon leur propriétaire. Les provinces le long de la route de la soie sont hachurés de jaune lorsque le commerce est actif ou en rouge s'il est interrompu par un siège ou l'occupation d'une province.;Alle Handelszonen, getrennt nach Besitzer. Provinzen auf der Seidenstraße werden gestreift dargestellt. Gelbe Gebiete sind aktiv, während rote Gebiete durch Belagerung oder feindliche Besetzung blockiert sind.;;Todas las zonas de comercio, separadas por sus dueños. Las provincias de la Ruta de la seda aparecen con rayas amarillas si están activas o rojas si están bloqueadas por sitio u ocupación.;;;;;;;;;x
