#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
succ_turkish_succession;Turkish;Succession turque;Türkisch;;Ley turca;;;;;;;;;x
succ_turkish_succession_desc;The most powerful son of the ruler succeeds, though other powerful sons are likely to intervene... The law is very popular with your children, except for the oldest child. The rest of your dynasty also approves.;Le fils le plus puissant du souverain lui succède, mais ses autres fils peuvent aussi intervenir... Cette loi est très appréciée des enfants, sauf de lainé. Les autres membres de votre dynastie l’approuvent également.;Die mächtigste Sohn des Herrschers tritt dessen Nachfolge an, obwohl andere mächtige Söhne wahrscheinlich einschreiten werden ... Bis auf Euer ältestes Kind finden all Eure Kinder dieses Gesetz sehr gut. Auch der Rest Eurer Dynastie stimmt ihm zu.;;El hijo más poderoso del soberano será el sucesor, aunque es probable que intervengan otros hijos con poder suficiente... La ley es muy popular entre los hijos, excepto para los hijos mayores. Los demás miembros de la dinastía también la aceptarán.;;;;;;;;;x
succ_open_elective;Elective Republic;Succession élective ouverte;Freie Wahl;;Elección abierta;;;;;;;;;x
succ_open_elective_desc;All vassals and courtiers get a vote and decide on a successor from among themselves.;Tous les vassaux et les courtisans peuvent voter et choisir un successeur parmi eux.;Alle Vasallen und Höflinge können wählen und über einen Nachfolger aus ihren Reihen abstimmen.;;Todos los vasallos y cortesanos tienen derecho a votar y a decidir un sucesor entre ellos.;;;;;;;;;x
succ_catholic_bishopric;Bishopric;Évêché;Bistum;;Arzobispado;;;;;;;;;x
succ_catholic_bishopric_desc;If the liege lord has nominated a successor, he succeeds. Otherwise, the Papal Candidate is chosen.;Si le suzerain a nommé un successeur, celui-ci lui succède. Sinon, le candidat papal est choisi.;Wenn der Lehnsherr einen Nachfolger bestimmt hat, tritt dieser die Nachfolge an. Ansonsten wird ein päpstlicher Kandidat ausgewählt.;;Si el señor feudal ha nombrado a un sucesor, este será el heredero. De lo contrario, se elige al candidato a Papa.;;;;;;;;;x
agnatic_succession;Agnatic;Agnatique;Agnatisch;;Agnación;;;;;;;;;x
agnatic_succession_desc;Only males can inherit.;Seuls les hommes peuvent hériter.;Nur Männer können erben.;;Solo los hombres pueden heredar.;;;;;;;;;x
cognatic_succession;Agnatic-Cognatic;Agnatico-cognatique;Agnatisch-kognatisch;;Agnación-cognación;;;;;;;;;x
cognatic_succession_desc;Women can inherit, but only if there are no eligible males.;Les femmes peuvent hériter, mais seulement en l’absence d’hommes.;Frauen können erben, aber nur dann, wenn es keine erbberechtigten Männer gibt.;;Las mujeres pueden heredar, pero solo si no hay varones aptos.;;;;;;;;;x
true_cognatic_succession;Absolute Cognatic;Cognatique;Absolut kognatisch;;Cognación absoluta;;;;;;;;;x
true_cognatic_succession_desc;Women inherit on the same grounds men do.;Les femmes héritent sur un pied d’égalité avec les hommes.;Frauen sind in der Erbfolge gleichberechtigt.;;Las mujeres pueden heredar del mismo modo que los hombres.;;;;;;;;;x
law_female_chancellor;Female Chancellors;Chanceliers féminins;Weibliche Kanzler;;Cancilleres femeninos;;;;;;;;;x
law_female_chancellor_desc;Women can be appointed Chancellor.;Les femmes peuvent être nommées Chancelier.;Frauen können zum Kanzler ernannt werden.;;Las mujeres pueden ocupar el cargo de canciller.;;;;;;;;;x
law_female_treasurer;Female Stewards;Intendants féminins;Weibliche Verwalter;;Administradores femeninos;;;;;;;;;x
law_female_treasurer_desc;Women can be appointed Stewards.;Les femmes peuvent être nommées intendants.;Frauen können zum Verwalter ernannt werden.;;Las mujeres pueden ocupar el cargo de [Root.GetTreasurerName].;;;;;;;;;x
feudal_contract;Feudal Levies;Troupes féodales;Feudale Wehrpflichtige;;Leva feudal;;;;;;;;;x
feudal_contract_desc;Feudal Levy Laws control the proportion of their levies that vassal lords nominally have to provide their liege.;Les lois relatives aux troupes féodales déterminent le pourcentage de troupes que les vassaux doivent fournir à leur suzerain.;Das feudale Wehrpflichtigenrecht regelt, welchen Teil ihrer Wehrpflichtigen Vasallenfürsten nominell ihrem Lehnsherrn zur Verfügung stellen müssen.;;La ley de leva feudal determina la proporción de leva que los señores vasallos deben proporcionar a su feudo.;;;;;;;;;x
feudal_contract_0;Minimal Feudal Levies;Troupes féodales - Minimum;Minimale feudale Wehrpflichtige;;Leva feudal mínima;;;;;;;;;x
feudal_contract_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
feudal_contract_0_desc;Vassal Feudal lords must only provide you with a majority of their levies.;Les seigneurs féodaux doivent mettre à votre disposition une force minimale leurs troupes.;Vasallenfürsten müssen Euch nur einen Großteil ihrer Wehrpflichtigen zur Verfügung stellen.;;Los señores vasallos deben proporcionarte la mayoría de sus levas.;;;;;;;;;x
feudal_contract_1;Small Feudal Levies;Troupes féodales - Petites;Wenig feudale Wehrpflichtige;;Leva feudal pequeña;;;;;;;;;x
feudal_contract_1_option;Small;Petites;Wenig;;Pequeña;;;;;;;;;x
feudal_contract_1_desc;Vassal Feudal lords may retain a significant portion of their levies for themselves.;Les seigneurs féodaux peuvent conserver un nombre important de troupes pour eux.;Vasallenfürsten behalten einen Großteil ihrer Wehrpflichtigen für sich selbst.;;Los señores vasallos pueden conservar una parte significativa de sus levas.;;;;;;;;;x
feudal_contract_2;Normal Feudal Levies;Troupes féodales - Normales;Normale feudale Wehrpflichtige;;Leva feudal mediana;;;;;;;;;x
feudal_contract_2_option;Normal;Normales;Normal;;Normal;;;;;;;;;x
feudal_contract_2_desc;Vassal Feudal lords retain small mobile retinues in addition to their garrisons.;Les seigneurs féodaux conservent de petites suites mobiles, en plus de leurs garnisons.;Vasallenfürsten behalten zusätzlich zu ihren Garnisonen ein kleines mobiles Gefolge.;;Los señores vasallos conservan pequeño séquito itinerante además de sus tropas.;;;;;;;;;x
feudal_contract_3;Maximum Feudal Levies;Troupes féodales maximales;Maximale feudale Wehrpflichtige;;Leva feudal máxima;;;;;;;;;x
feudal_contract_3_option;Max;Totales;Max;;Máx.;;;;;;;;;x
feudal_contract_3_desc;Vassal Feudal lords are obliged to provide their entire levy.;Les seigneurs féodaux sont tenus de mettre à disposition toutes leurs troupes.;Vasallenfürsten müssen ihrem Lehnsherrn alle ihre Wehrpflichtigen zur Verfügung stellen.;;Los señores vasallos están obligados a proporcionar todas sus levas.;;;;;;;;;x
feudal_tax;Feudal Taxation;Impôts féodaux;Feudalbesteuerung;;Impuesto feudal;;;;;;;;;x
feudal_tax_desc;Normally, feudal lords are exempt from paying taxes to their liege. However, other arrangements are fairly common - if not well liked.;Traditionnellement, les seigneurs féodaux ne sont pas tenus de payer des impôts. Mais d’autres dispositions peuvent évidemment être prises.;Normalerweise müssen feudale Fürsten ihrem Lehnsherrn keine Steuern zahlen. Andere Regelungen sind ebenfalls üblich, wenn auch nicht sehr populär.;;Normalmente, los señores feudales están exentos de pagar impuestos a su superior. Pero, es frecuente haya otros acuerdos en caso de disconformidad.;;;;;;;;;x
feudal_tax_0;Tax Exemption;Exonération d’impôts;Steuerbefreiung;;Exención de impuestos;;;;;;;;;x
feudal_tax_0_option;None;Aucune;Keine;;Sin impuestos;;;;;;;;;x
feudal_tax_0_desc;Feudal lords are exempted from taxation, vassal lords like this state of affairs.;Les seigneurs féodaux ne sont pas tenus de payer des impôts, ce qui plaît aux vassaux.;Feudale Fürsten sind sehr zu ihrer Freude von der Steuer befreit.;;Los señores feudales están exentos de impuestos. A los señores vasallos les gusta este sistema.;;;;;;;;;x
#feudal_tax_1;Knight's Fee;Impôts des chevaliers;Rittersteuer;;Escuage;;;;;;;;;x
feudal_tax_1_option;Small;Minimes;Gering;;Pequeño;;;;;;;;;x
feudal_tax_1_desc;Feudal lords are expected to make a small financial contribution towards the greater good of the realm. They are mildly disappointed in this.;Les seigneurs féodaux sont tenus de verser une petite contribution financière pour le bien du Royaume, ce qu’ils n’apprécient pas vraiment.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten. Davon sind sie leicht enttäuscht.;;Se espera que los señores feudales realicen una pequeña contribución financiera por el bien del reino. Esta ley no les agrada mucho.;;;;;;;;;x
#feudal_tax_2;Large Tax;Impôts Moyens;Hohe Steuer;;Impuesto alto;;;;;;;;;x
feudal_tax_2_option;Large;Moyens;Hoch;;Alto;;;;;;;;;x
feudal_tax_2_desc;Feudal lords are expected to make a substantial financial contribution towards the greater good of the realm. They also wish to express their general disappointment at this state of affairs.;Les seigneurs féodaux sont tenus de verser une importante contribution pour le bien du Royaume, ce qu’ils n’apprécient absolument pas.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen beträchtlichen finanziellen Beitrag leisten. Außerdem möchten sie ihre allgemeine Enttäuschung über diese Sachlage zum Ausdruck bringen.;;Se espera que los señores feudales realicen una contribución financiera sustanciosa por el bien del reino. También desean expresar su descontento general hacia este sistema.;;;;;;;;;x
#feudal_tax_3;Harsh Tax;Lourds impôts;Strenge Steuer;;Impuesto severo;;;;;;;;;x
feudal_tax_3_option;Harsh;Élevés;Streng;;Severo;;;;;;;;;x
feudal_tax_3_desc;Feudal lords are expected to make a large financial contribution towards the greater good of the realm. They find it hard to fully express their disgust at this state of affairs.;Les seigneurs féodaux sont tenus de verser une lourde contribution financière pour le bien du Royaume, ce qu’ils désapprouvent catégoriquement.;Feudale Fürsten müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten. Es fällt ihnen schwer, ihre Empörung über diese Sachlage gebührend zum Ausdruck zu bringen.;;Se espera que los señores feudales realicen una gran contribución financiera por el bien del reino. Tienen dificultades para expresar claramente su disgusto hacia este sistema.;;;;;;;;;x
city_contract;City Levies;Troupes des cités;Stadtwehrpflichtige;;Levas de la Villa;;;;;;;;;x
city_contract_desc;City Levy laws concern the obligations of cities to provide troops for their liege.;Les lois relatives aux troupes des cités déterminent leur obligation à fournir des troupes à leur suzerain.;Das Stadtwehrpflichtigenrecht bezieht sich auf die Verpflichtung von Städten, ihrem Lehnsherrn Truppen zur Verfügung zu stellen.;;Las leyes de levas de villa hacen referencia a la obligación de las villas de proporcionar tropas para el feudo.;;;;;;;;;x
city_contract_0;Minimal City Levies;Troupes des cités - Minimum;Minimale Stadtwehrpflichtige;;Leva mínima de la villa;;;;;;;;;x
city_contract_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
#city_contract_0_desc;The Burghers are expected to provide a small amount of troops for the defense of the realm.;Les bourgeois sont tenus de mettre à disposition une petite troupe pour la défense du Royaume.;Die Bürger müssen einen kleinen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses proporcionen una pequeña cantidad de tropas para la defensa del reino.;;;;;;;;;x
city_contract_1;Normal City Levies;Troupes des cités - Normales;Normale Stadtwehrpflichtige;;Leva mediana de la villa;;;;;;;;;x
city_contract_1_option;Normal;Normales;Normal;;Mediana;;;;;;;;;x
#city_contract_1_desc;The Burghers are expected to provide a moderate amount of troops for the defense of the realm.;Les bourgeois sont tenus de mettre à disposition un pourcentage moyen de troupes pour la défense du Royaume.;Die Bürger müssen einen moderaten Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses proporcionen una cantidad moderada de tropas para la defensa del reino.;;;;;;;;;x
city_contract_2;Large City Levies;Troupes des cités - Importantes;Große Stadtwehrpflichtige;;Leva numerosa de la villa;;;;;;;;;x
city_contract_2_option;Large;Moyens;Groß;;Numerosa;;;;;;;;;x
#city_contract_2_desc;The Burghers are expected to provide a substantial amount of troops for the defense of the realm.;Les bourgeois sont tenus de mettre à disposition un pourcentage important de troupes pour la défense du Royaume.;Die Bürger müssen einen erheblichen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses proporcionen una cantidad sustanciosa de tropas para la defensa del reino.;;;;;;;;;x
city_contract_3;Maximum City Levies;Troupes des cités - Maximales;Maximale Stadtwehrpflichtige;;Leva máxima de la villa;;;;;;;;;x
city_contract_3_option;Max;Totales;Max;;Máx.;;;;;;;;;x
#city_contract_3_desc;The Burghers are expected to provide a large amount of troops for the defense of the realm.;Les bourgeois sont tenus de mettre à disposition un important pourcentage de troupes pour la défense du Royaume.;Die Bürger müssen einen großen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses proporcionen una gran cantidad de tropas para la defensa del reino.;;;;;;;;;x
city_tax;City Taxation;Impôts des cités;Stadtbesteuerung;;Impuesto a la villa;;;;;;;;;x
city_tax_desc;The cities are the golden geese of any country, but their taxation can be adjusted through laws.;Les cités sont les poules aux œufs d’or d’un pays, mais leurs impôts peuvent être ajustés au moyen de lois.;Die Städte sind die goldenen Gänse jedes Landes. Ihre Besteuerung kann über Gesetze angepasst werden.;;Las villas son la gallina de los huevos de oro de cualquier país, aunque se puede modificar la tasación mediante leyes.;;;;;;;;;x
city_tax_0;Minimal City Taxes;Impôts des cités - Minimum;Minimale Stadtsteuern;;Impuesto mínimo a la villa;;;;;;;;;x
city_tax_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
city_tax_0_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une petite contribution financière pour le bien du Royaume.;Die Bürger müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una pequeña contribución financiera por el bien del reino.;;;;;;;;;x
city_tax_1;Normal City Taxes;Impôts des cités - Normaux;Normale Stadtsteuern;;Impuesto moderado a la villa;;;;;;;;;x
city_tax_1_option;Normal;Normaux;Normal;;Moderado;;;;;;;;;x
city_tax_1_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une contribution financière modérée pour le bien du Royaume.;Die Bürger müssen für das allgemeine Wohl des Reichs einen moderaten finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una contribución financiera moderada por el bien del reino.;;;;;;;;;x
city_tax_2;Large City Tax;Impôts des cités - Importants;Hohe Stadtsteuern;;Impuesto alto a la villa;;;;;;;;;x
city_tax_2_option;Large;Moyens;Hoch;;Alto;;;;;;;;;x
city_tax_2_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;Les bourgeois doivent apporter une contribution financière substantielle pour le bien du Royaume.;Die Bürger müssen für das allgemeine Wohl des Reichs einen erheblichen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una contribución financiera sustanciosa por el bien del reino.;;;;;;;;;x
city_tax_3;Harsh City Tax;Impôts des cités - Lourds;Strenge Stadtsteuern;;Impuesto severo a la villa;;;;;;;;;x
city_tax_3_option;Harsh;Élevés;Streng;;Severo;;;;;;;;;x
city_tax_3_desc;The Burghers are expected to make a large financial contribution to the greater good of the realm. ;Les bourgeois doivent apporter une très lourde contribution financière pour le bien du Royaume. ;Die Bürger müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten.;;Se espera que los burgueses realicen una gran contribución financiera por el bien del reino.;;;;;;;;;x
temple_contract;Church Levies;Troupes de l’Église;Kirchenwehrpflichtige;;Levas de iglesia;;;;;;;;;x
temple_contract_desc;These laws control the size of the levies that vassal pontiffs are formally obliged to provide their secular liege.;Ces lois déterminent les effectifs militaires que les vassaux ecclésiastiques sont tenus de mettre à la disposition de leur suzerain séculaire.;Diese Gesetze regeln die Größe der Wehrpflichtigenkontingente, die kirchliche Vasallen formell ihrem säkularen Lehnsherrn zur Verfügung stellen müssen.;;Estas leyes controlan el tamaño de las levas que los pontífices vasallos están obligados a proporcionar al señor seglar.;;;;;;;;;x
temple_contract_0;Minimal Church Levies;Troupes de l’Église – Minimum;Minimale Kirchenwehrpflichtige;;Leva de iglesia mínima;;;;;;;;;x
temple_contract_0_option;Min;Minime;Min;;Mín.;;;;;;;;;x
temple_contract_0_desc;The Prince-Bishops are expected to provide a small amount of troops for the defense of the realm.;Les princes-évêques sont tenus mettre à disposition un petit pourcentage de troupes pour la défense du Royaume.;Die Fürstbischöfe müssen einen kleinen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una pequeña cantidad de tropas para la defensa del reino.;;;;;;;;;x
temple_contract_1;Normal Church Levies;Troupes de l’Église – Normales;Normale Kirchenwehrpflichtige;;Leva de iglesia mediana;;;;;;;;;x
temple_contract_1_option;Normal;Normales;Normal;;Mediana;;;;;;;;;x
temple_contract_1_desc;The Prince-Bishops are expected to provide a moderate amount of troops for the defense of the realm.;Les princes-évêques sont tenus de mettre à disposition un pourcentage raisonnable de troupes pour la défense du Royaume.;Die Fürstbischöfe müssen einen moderaten Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una cantidad moderada de tropas para la defensa del reino.;;;;;;;;;x
temple_contract_2;Large Church Levies;Troupes de l’Église - Importantes;Große Kirchenwehrpflichtige;;Leva de iglesia numerosa;;;;;;;;;x
temple_contract_2_option;Large;Moyens;Groß;;Numerosa;;;;;;;;;x
temple_contract_2_desc;The Prince-Bishops are expected to provide a substantial amount of troops for the defense of the realm. ;Les princes-évêques sont tenus de mettre à disposition un pourcentage important de troupes pour la défense du Royaume. ;Die Fürstbischöfe müssen einen erheblichen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una cantidad sustanciosa de tropas para la defensa del reino..;;;;;;;;;x
temple_contract_3;Maximum Church Levies;Troupes de l’Église - Maximum;Maximale Kirchenwehrpflichtige;;Leva de iglesia máxima;;;;;;;;;x
temple_contract_3_option;Max;Max;Max;;Máx.;;;;;;;;;x
temple_contract_3_desc;The Prince-Bishops are expected to provide a large amount of troops for the defense of the realm. ;Les princes-évêques sont tenus de mettre à disposition un important pourcentage de troupes pour la défense du Royaume. ;Die Fürstbischöfe müssen einen großen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una gran cantidad de tropas para la defensa del reino..;;;;;;;;;x
temple_tax;Church Taxation;Impôts de l’Église;Kirchenbesteuerung;;Impuesto de iglesia;;;;;;;;;x
temple_tax_desc;Church vassals nominally provide their secular liege with a significant tithe - unless they like the head of their religion better!;Les vassaux ecclésiastiques sont tenus de verser à leur suzerain séculaire une dîme non négligeable, sauf s’ils préfèrent leur chef de leur religion !;Kirchenvasallen zahlen ihrem säkularen Lehnsherrn beträchtliche Zehnten - es sei denn, sie mögen das Oberhaupt ihrer Religion mehr!;;En teoría, los vasallos de la Iglesia proporcionan a su señor seglar un diezmo significativo, ¡a no ser que prefieran a su líder espiritual!;;;;;;;;;x
temple_tax_0;No Church Tax;Aucun impôt de l’Église;Keine Kirchensteuer;;Sin impuesto de iglesia;;;;;;;;;x
#temple_tax_0_option;Min;Min;Min;;Mín.;;;;;;;;;x
temple_tax_0_desc;Landed Priests are exempt from taxes.;Les prêtres terriens sont exonérés d’impôts.;Geistliche mit Landbesitz sind von der Kirchensteuer befreit.;;Los sacerdotes hacendados están exentos de impuestos.;;;;;;;;;x
temple_tax_1;Minimal Church Tax;Impôts de l’Église - Minimum;Minimale Kirchensteuer;;Impuesto de iglesia mínimo;;;;;;;;;x
temple_tax_1_option;Min;Min;Min;;Mín.;;;;;;;;;x
temple_tax_1_desc;Landed Priests are expected to make a small financial contribution to the greater good of the realm.;Les prêtres terriens doivent apporter une petite contribution financière pour le bien du Royaume.;Geistliche mit Landbesitz müssen für das allgemeine Wohl des Reichs einen geringen finanziellen Beitrag leisten.;;Se espera que los sacerdotes hacendados realicen una pequeña contribución financiera por el bien del reino.;;;;;;;;;x
temple_tax_2;Medium Church Tax;Impôts de l’Église – Moyens;Moderate Kirchensteuer;;Impuesto de iglesia moderado;;;;;;;;;x
temple_tax_2_option;Medium;Moyens;Moderat;;Moderado;;;;;;;;;x
temple_tax_2_desc;Landed Priests are expected to make a moderate financial contribution to the greater good of the realm.;Les prêtres terriens doivent apporter une contribution financière moyenne pour le bien du Royaume.;Geistliche mit Landbesitz müssen für das allgemeine Wohl des Reichs einen moderaten finanziellen Beitrag leisten.;;Se espera que los sacerdotes hacendados realicen una pequeña contribución financiera por el bien del reino.;;;;;;;;;x
temple_tax_3;Large Church Tax;Impôts de l’Église – Importants;Hohe Kirchensteuer;;Impuesto de iglesia alto;;;;;;;;;x
temple_tax_3_option;Large;Elevés;Hoch;;Alto;;;;;;;;;x
temple_tax_3_desc;Landed Priests are expected to make a substantial financial contribution to the greater good of the realm. ;Les prêtres terriens doivent apporter une importante contribution financière pour le bien du Royaume. ;Geistliche mit Landbesitz müssen für das allgemeine Wohl des Reichs einen erheblichen finanziellen Beitrag leisten.;;Se espera que los sacerdotes hacendados realicen una contribución financiera sustanciosa por el bien del reino.;;;;;;;;;x
investiture_law;Investiture;Investiture;Investitur;;Investidura;;;;;;;;;x
investiture_law_desc;This law determines who appoints Bishops - the Pope or the secular liege.;Cette loi détermine qui, du Pape ou du suzerain séculier, nomme les évêques.;Dieses Gesetz legt fest, wer die Bischöfe ernennt - der Papst oder der säkulare Lehnsherr.;;Esta ley determina quién designa a los obispos: el Papa o el señor seglar.;;;;;;;;;x
investiture_law_0;Papal Investiture;Investiture papale;Päpstliche Investitur;;Investidura papal;;;;;;;;;x
investiture_law_0_option;Papal;Papale;Päpstlich;;Papal;;;;;;;;;x
investiture_law_0_desc;Only the Pope may appoint Bishops within the Realm. This will give the Crown a §G50%§! Piety cost discount when requesting special papal actions, like Divorce and Excommunication.;Seul le Pape peut nommer les évêques du Royaume. Cela confère à la Couronne un crédit de §G50%§! de piété lorsqu’elle sollicite des actions papales spécifiques, comme le divorce ou l’excommunication.;Innerhalb des Reichs darf nur der Papst Bischöfe ernennen. Dies gibt der Krone beim Ersuchen spezieller päpstlicher Handlungen wie Scheidung und Exkommunikation einen Pietätsrabatt von §G50%§!.;;El Papa es el único que puede designar a los obispos en el reino. Esto le costará a la Corona un §G50%§! menos de Piedad al solicitar acciones papales específicas como el divorcio y la excomunión.;;;;;;;;;x
investiture_law_1;Free Investiture;Investiture libre;Freie Investitur;;Libre investidura;;;;;;;;;x
investiture_law_1_option;Free;Libre;Frei;;Libre;;;;;;;;;x
investiture_law_1_desc;Bishops within the kingdom can be appointed by their secular lieges, and will be more loyal to their liege. The Pope will not be pleased.;Le suzerain séculier peut nommer les évêques du Royaume, ce qui renforce leur loyauté et ne plaît guère au Pape.;Innerhalb des Königreichs dürfen nur säkulare Lehnsherrn Bischöfe ernennen, die ihnen gegenüber dann auch loyaler eingestellt sind. Dies wird dem Papst nicht gefallen.;;Los señores seglares pueden designar a sus obispos del reino, los cuales serán más leales a su señor. Al Papa no le sentará muy bien.;;;;;;;;;x
crown_city_charters_only;Crown City Charters;Chartes des cités de la Couronne;Kronstadtrecht;;Fueros de las villas de la corona;;;;;;;;;x
crown_city_charters_only_desc;Cities within the Kingdom can only be chartered by (be vassals of) the King.;Les chartes des cités du Royaume ne peuvent être déterminées que par le roi.;Städte innerhalb des Königreichs können nur vom König oder seinen Vasallen Stadtrecht erhalten.;;Solo el rey (o sus vasallos) pueden fijar los fueros de una villa en el reino.;;;;;;;;;x
crown_authority;Crown Authority;Autorité de la Couronne;Macht der Krone;;Autoridad de la Corona;;;;;;;;;x
