#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume de Portugal.;Ich kann in diesen Landen eine neue Ära beginnen lassen, indem ich das Königreich Portugal gründe.;;Puedo comenzar una nueva era en estas tierras fundando el Reino de Portugal.;;;;;;;;;x
IS_NOT_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood;La dynastie 'Y$DYNASTY$'! n'est PAS une dynastie de sang divin.;Die 'Y$DYNASTY$'!-Dynastie ist NICHT von göttlichem Geblüt.;;La §Y$DYNASTY$§!dinastía NO es de Sangre Divina;;;;;;;;;x
SET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n;La dynastie 'Y$DYNASTY$'! est désormais considérée comme une dynastie de sang divin.\n;Die 'Y$DYNASTY$'!-Dynastie gilt nun als Dynastie von göttlichem Geblüt\n;;La §Y$DYNASTY$§!Dinastía se considera ahora de Sangre divina\n;;;;;;;;;x
UNSET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n;La dynastie 'Y$DYNASTY$'! n'est plus considérée comme une dynastie de sang divin.\n;Die 'Y$DYNASTY$'!-Dynastie gilt nun nicht mehr als Dynastie von göttlichem Geblüt\n;;La §Y$DYNASTY$§!Dinastía ya no se considera de la Sangre Divina;;;;;;;;;x
AIREASON_AMBITION;Ambition;Ambition;Ambition;;Ambición;;;;;;;;;x
CHRONICLE_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;Les [GetDynName] ont instauré le féodalisme sur leurs terres, tournant le dos aux anciennes coutumes tribales.;[From.GetDynName] führte in [From.GetHerHis] Gebieten das Feudalsystem ein und gab die Stammestraditionen auf.;;[From.GetDynName] adoptó un sistema feudal en [From.GetHerHis] dominios, abandonando las viejas costumbres tribales.;;;;;;;;;x
CHRONICLE_FOUNDED_MERCHANT_REPUBLIC;[From.GetDynName] founded a merchant republic in [From.GetHerHis] domains, abandoning the old tribal ways.;Les [From.GetDynName] érigèrent leurs États en république marchande, tournant le dos aux anciennes coutumes tribales.;[From.GetDynName] gründete in [From.GetHerHis] Gebieten eine Handelsrepublik und gab die Stammestraditionen auf.;;;;;;;;;;;x
STAT_DEMESNE_SIZE_MENU;§YDemesne Size§!;§YTaille du domaine§!;§YDomänengröße§!;;§YTamaño de la heredad§!;;;;;;;;;x
STAT_VASSAL_LIMIT_MENU;§YVassal Limit§!;§YNombre maximal de vassaux§!;§YVasallenlimit§!;;§YLímite de Vasallos§!;;;;;;;;;x
STAT_REALM_SIZE_MENU;§YRealm Size§!;§YTaille de la contrée§!;§YReichsgröße§!;;§YTamaño del reino§!;;;;;;;;;x
STAT_SCORE_MENU;§YScore§!;§YScore§!;§YPunkte§!;;§YPuntuación§!;;;;;;;;;x
PRESTIGE_LAW_PASSED_LOG;§Y$RULER$§! has instituted the §Y$LAW$§! Law in §Y$TITLE$§!.;§Y$RULER$§!  a instauré la §Y$LAW$§! en §Y$TITLE$§!.;§Y$RULER$§! hat das §Y$LAW$§! Gesetz in §Y$TITLE$§! eingeführt.;;§Y$RULER$§! ha instituido la  ley §Y$LAW$§! en §Y$TITLE$§!.;;;;;;;;;x
EVTNAME62925;The [From.PrimaryTitle.GetTier] of Portugal;Le [From.PrimaryTitle.GetTier] de Portugal;Das [From.PrimaryTitle.GetTier] von Portugal ;;El [From.PrimaryTitle.GetTier] de Portugal;;;;;;;;;x
LAND_OF_CLAN;§YNomadic Counties held by Clan $CLAN$§!;§YComtés détenues par le clan nomade $CLAN$§!;§YNomadische Grafschaften unter der Kontrolle von Klan $CLAN$§!;;§YCondados nómadas poseídos por clan $CLAN$§!;;;;;;;;;x
