#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;;;;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_DEFAULT_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is unchanged.;La vitesse à laquelle une province est convertie grâce à l'action 'Faire du prosélytisme' demeure la même.;;;;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_SLOWER_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is reduced by a factor of three.;La vitesse à laquelle une province est convertie grâce à l'action 'Faire du prosélytisme' est réduite au tiers.;;;;;;;;;;;;x
tiny_food_shortage;Trivial Food Shortage;Apport en vivres restreint;;;;;;;;;;;;x
normal_food_shortage;Food Shortage;Disette;;;;;;;;;;;;x
starving_food_shortage;Starving!;Famine!;;;;;;;;;;;;x
tiny_food_shortage_desc;This character is suffering slightly due to a lack of food.;Ce personnage n'a pas tout à fait mangé à sa faim;;;;;;;;;;;;x
normal_food_shortage_desc;This character is suffering heavily due to a lack of food.;Ce personnage souffre beaucoup du manque de nourriture.;;;;;;;;;;;;x
starving_food_shortage_desc;This character is starving.;Ce personnage est affamé.;;;;;;;;;;;;x
ravager_desc;This character is widely known as a fearsome Ravager, a Viking few have fought and lived.;Ce personnage est réputé être un redoutable Ravageur, l'un de ces vikings dont peu de ses adversaires au combat ont survécu.;;;;;;;;;;;;x
death_text_default;Although not especially blessed, we hope [GetFirstName] will find peace in the afterlife;Bien que n'ayant pas particulièrement fait preuve de dévotion, nous espérons que [GetFirstName] trouvera la paix dans l'au-delà;;;;;;;;;;;;x
death_text_neutral;Although not especially blessed, we hope [GetFirstName] will find peace in the afterlife;C'est au terme d'une existence mesurée que [GetFirstName] nous quitte en quête du repos éternel.;;;;;;;;;;;;x
death_text_lustful;Well-known to be prone to carnal sins, [GetSheHe] was often unfaithful to [GetHerHis] [GetHusbandWifeOpp]. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Réputé[GetNoneE] pour ses péchés charnels, [GetSheHe] a souvent trompé [GetHerHisOpp] [GetHusbandWifeOpp]. [GetFirstName] va certainement récolter le salaire de son vice dans l'au-delà;;;;;;;;;;;;x
death_text_gluttonous;Known to be Gluttonous, [GetSheHe] was constantly eating and rather overweight. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Poussant la gourmandise jusqu'à la plus abjecte gloutonnerie, [GetSheHe] s'empiffrait constamment et en était obèse. [GetFirstName] aura l'occasion d'expier ce péché capital dans l'au-delà;;;;;;;;;;;;x
death_text_greedy;A Greedy [GetManWoman], [GetSheHe] often remarked on the need to tax [GetHerHis] people into space. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Rongé[GetNoneE] par l'avarice, [GetSheHe] se distinguait par l'impressionnant fardeau des taxes imposées à son peuple. La fortune de [GetFirstName] ne lui sera d'aucun secours dans l'au-delà;;;;;;;;;;;;x
death_text_slothful;Prone to Sloth, [GetSheHe] never did anything [GetSheHe] did not have to. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Célèbre pour son penchant vers la paressse, [GetSheHe] n'a jamais entrepris que ce qui était absolument nécessaire. Les péchés de [GetFirstName] viendront certainement troubler son repos éternel;;;;;;;;;;;;x
death_text_envious;Ever Envious, [GetSheHe] always wanted what other people had. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Vert[GetNoneE] de jalousie, [GetSheHe] enviait tout à chacun. [GetFirstName] va certainement payer pour ses péchés dans l'au-delà;;;;;;;;;;;;x
death_text_wroth;A Wroth [GetManWoman], people feared to cross [GetHerHim] - or even bring bad news. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;On craignait d'être porteur de mauvaises nouvelles, tant ses colères ont marqué les esprits. [GetFirstName] ne connaîtra la paix dans l'au-delà qu'en expiant ce vice.;;;;;;;;;;;;x
death_text_proud;Guilty of the sin of Pride, [GetSheHe] wanted everyone to know of [GetHerHis] greatness. A wicked [GetManWoman], [GetFirstName] will surely pay for [GetHerHis] sins in the afterlife;Coupable du péché d'orgueil, [GetSheHe] tenait à étaler sa grandeur au monde. [GetFirstName] va payer pour ses vices dans l'au-delà;;;;;;;;;;;;x
death_text_chaste;A Chaste [GetManWoman], [GetHerHis] honor was beyond refute. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;En tant que personne chaste, personne n'a pu médire au sujet de sa Vertu. [GetFirstName] a maintenant rejoint [Religion.GetRandomGodName];;;;;;;;;;;;x
death_text_temperate;Ever Temperate, [GetSheHe] never let [GetHerHis] base urges get the better of [GetHerHim]. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Toujours tempéré[GetNoneE], [GetSheHe] a toujours su garder le contrôle de ses pulsions. Qu'il plaise à [Religion.GetRandomGodName] de l'accueillir dans le repos éternel;;;;;;;;;;;;x
death_text_charitable;Well-known to be Charitable, [GetSheHe] freely gave money to [GetHerHis] friends and family. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Réputé[GetNoneE] pour son tempérament charitable, [GetHeShe] couvrait de ses largesses ses proches et sa famille. Il ne fait nul doute que [GetFirstName] a su trouvé [Religion.GetRandomGodName] dans l'au-delà;;;;;;;;;;;;x
death_text_diligent;A shining example of Diligence, [GetHerHis] duty was never neglected. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Brillant exemple de diligence, [GetSheHe] a toujours rempli ses engagements et honorés ses devoirs. Une pareille dévotion ne peut qu'assurer à [GetFirstName] une place auprès de [Religion.GetRandomGodName];;;;;;;;;;;;x
death_text_kind;Known to be Kind, few had a bad word to say about [GetHerHim]. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Connu[GetNoneE] pour sa gentillesse, rare sont ceux qui peuvent médire à son sujet. [GetFirstName] saura trouver sa place auprès de [Religion.GetRandomGodName].;;;;;;;;;;;;x
death_text_patient;Always Patient, [GetSheHe] never lost [GetHerHis] temper. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Toujours patient, [GetSheHe] n'a jamais perdu son sang-froid. La sérénité de [GetFirstName] lui permettra de rejoindre [Religion.GetRandomGodName] dans l'au-delà;;;;;;;;;;;;x
death_text_humble;A humble [GetManWoman], [GetSheHe] never wanted anyone to make a fuss over [GetHerHis] accomplishments. A godly [GetManWoman], [GetFirstName] is with [Religion.GetRandomGodName] now;Humble, [GetSheHe] a toujours évité tout tapage entourant ses accomplissements. Une personne aussi vertueuse trouvera assurément la compagnie de [Religion.GetRandomGodName] dans l'au-delà;;;;;;;;;;;;x
prosperity_modifier_1;Prospering;Économie prospère;;;;;;;;;;;;x
ENFORCE_PEACE_BUTTON_DESC_INSTANT;Enforcing Realm Peace will end all internal wars between your direct vassals. The peace will take effect 3 months after it has been decreed, and will last for five years. Use this ability to keep your vassals from growing too strong within your realm.;Ordonner à vos vassaux directs de garder la paix fera cesser toutes leurs guerres privées. La paix prendra effet trois mois après avoir été ordonnée et durera pour cinq ans. Utiliser ce pouvoir pour empêcher vos vassaux de consolider à leur profit une trop grande part de votre domaine.;;;;;;;;;;;;x
crazy_cannibal;Crazy Cannibal;Cannibale dément;;;;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MAJOR_MINOR;Your own realm is ravaged by $MAJOR|R$ MAJOR epidemics and $MINOR|Y$ others;Vos États sont ravagés par $MAJOR|R$ épidémies majeures et $MINOR|Y$ autres.;;;;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MAJOR_ONLY;Your own realm is ravaged by $MAJOR|R$ MAJOR epidemics;Vos États sont ravagés par $MAJOR|R$ épidémies majeures.;;;;;;;;;;;;x
EPIDEMICS_TOOLTIP_PLAYER_MINOR_ONLY;Your own realm is ravaged by $MINOR|Y$ epidemics;Vos États sont ravagés par $MINOR|Y$ épidémies.;;;;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_PLAYER;The epidemics currently in your realm:;Les épidémies actuellement dans vos États:;;;;;;;;;;;;x
EPIDEMICS_TOOLTIP_DELAYED_VALUE;- $DISEASE$ started in $PROVINCE|Y$ in $START_DATE|Y$; - $DISEASE$ apparu(e) en $PROVINCE|Y$ le $START_DATE|Y$;;;;;;;;;;;;x
opinion_alliance_breaker;Alliance-Breaker;Rompt ses alliances;;;;;;;;;;;;x
RULE_EPIDEMICS;§BThe Reaper's Due:§! Major Epidemics;Épidémies majeures (§Bla Part de la Faucheuse§!);;;;;;;;;;;;x
RULE_SHATTERED_RETREAT_ON_DESC;Armies will try to retreat into friendly or otherwise safe territory. Retreating armies cannot be engaged by enemy forces. Movement Speed and Morale Regain Rate is increased for retreating armies.;Les armées en déroute tenteront de regagner un territoire amical ou, à tout le moins, un endroit sécuritaire. Ces armées ne peuvent être engagées par des forces ennemies. La vitesse de déplacement et de récupération du moral des armées en retraite est augmentée.;;;;;;;;;;;;x
RULE_SHATTERED_RETREAT_OFF_DESC;Retreating armies will move into a neighboring county. This tends to make the game easier.;Les armées en déroute vont gagner une province voisine. Cela tend à rendre le jeu plus facile.;;;;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;The Aztec Invasion will occur at the very earliest in the 13th century.;L'invasion aztèque ne se produira pas avant le XIIIe siècle;;;;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;The Aztec Invasion will occur at a random date, though at the earliest 50 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, au moins 50 ans après le début de la partie.;;;;;;;;;;;;x
RULE_GENDER_DEFAULT_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is available.;Les dispositions sur le genre suivent le contexte historique. Certaines cultures ou religions peuvent limiter la latitude en matière de droit des femmes. Les lois sur la condition féminine du DLC 'Conseil' sont disponibles.;;;;;;;;;;;;x
RULE_GENDER_HISTORICAL_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is not available.;Les dispositions sur le genre suivent le contexte historique. Certaines cultures ou religions peuvent limiter la latitude en matière de droit des femmes. Les lois sur la condition féminine du DLC 'Conseil' ne sont pas disponibles.;;;;;;;;;;;;x
RULE_GENDER_ALL_DESC;The game will play as if the 'Status of Women' law would be maxed out for everyone. The Conclave 'Status of Women' set of laws is unavailable for everyone.;Le jeu considère que la condition féminine est à son meilleur dans l'ensemble des provinces. Les lois sur la condition féminime du DLC 'Conseil' ne son pas disponibles.;;;;;;;;;;;;x
RULE_MONGOL_INVASION_RANDOM_DESC;The Mongol Horde will invade at a random date, though at the earliest 50 years after the game is started.;La Horde mongole fera une invasion à une date aléatoire, mais au moins 50 ans après le début de la partie.;;;;;;;;;;;;x
RULE_FLANDERS_HRE_DESC;Flanders is part of the Holy Roman Empire's De Jure territory.;La Flandres est considérée comme rattachée au Saint-Empire;;;;;;;;;;;;x
RULE_DEJURE_DEFAULT_DESC;The dynamic De Jure drift of titles is allowed and unrestricted.;L'évolution de la structure coutumière des titres de noblesse est permise.;;;;;;;;;;;;x
RULE_DEJURE_RESTRICTED_DESC;The dynamic De Jure drift of titles is allowed, but restricted. Drift can only happen if titles border each other.;L'évolution de la structure coutumière des titres de noblesse est permise, mais ne peut avoir lieu que si le domaine rattaché borde celui du nouveau titre suzerain potentiel.;;;;;;;;;;;;x
RULE_DEJURE_OFF_DESC;Dynamic De Jure drift is disabled.;La structure coutumière des titres de noblesse est fixe.;;;;;;;;;;;;x
RULE_DYNAMIC_REALMS_ON_DESC;The creation of custom non-historical Kingdoms and Empires is allowed.;La création de titres royaux ou impériaux de fait est permise.;;;;;;;;;;;;x
RULE_DYNAMIC_REALMS_OFF_DESC;The creation of custom non-historical Kingdoms and Empires is disallowed.;La création de titres royaux oui impériaux de fait est impossible.;;;;;;;;;;;;x
RULE_IFM_RESTRICTED_DESC;Rulers of unrelated religions will never agree to marriage offers.;Les dirigeants n'étant pas d'un confession apparentée vont ignorer les propositions de mariage.;;;;;;;;;;;;x
RULE_IFM_OPEN_DESC;Even rulers of hostile and unrelated religions will consider marriage offers.;Les dirigeants vont considérer les propositions de mariage sans égard aux différends religieux.;;;;;;;;;;;;x
RULE_VASSAL_REPUBLICS_RESTRICTED_DESC;You are limited to a small proportion of Republics among your vassals.;Seule une fraction des vassaux peuvent être des républiques.;;;;;;;;;;;;x
RULE_VASSAL_THEOCRACIES_RESTRICTED_DESC;You are limited to a small proportion of Theocracies among your vassals.;Seule une fraction des vassaux peuvent être des théocraties.;;;;;;;;;;;;x
SET_PENTARCH_TITLE_EFFECT;$PENTARCH_TITLE|Y$ will be considered the Pentarch authority over $TITLE|Y$.;$TITLE|Y$ relève de l'autorité du Pentarque suivant :$PENTARCH_TITLE|Y$ .;;;;;;;;;;;;x
cough_desc;This character is suffering from a bad cough - an annoying and sometimes painful ailment.;Ce personnage souffre d'une mauvaise toux - un mal pénible et parfois fort incommodant.;;;;;;;;;;;;x
fever_desc;This character has a fever - a very serious condition if ignored.;Ce personnage fait de la fièvre - il s'agit d'un état très sérieux si non traité.;;;;;;;;;;;;x
diarrhea_desc;This character has diarrhea - causing dehydration which can often be fatal.;Ce personnage a la diarrhée, ce qui peut le déssécher jusqu'à en mourir.;;;;;;;;;;;;x
vomiting_desc;This character is vomiting periodically - inability to keep food and drink down will drain their energy.;Ce personnage est en proie à des vomissements. Cette incapacité à conserver les liquides comme les solides l'affaiblit considérablement.;;;;;;;;;;;;x
chest_pain_desc;This character is experiencing chest pains - whether the reason is stress, eating too much, or something else, they may be dead before anyone knows for sure.;Ce personnage éprouve des douleurs à la poitrine. Qu'il s'agisse du stress, d'une diète complaisante ou d'autre choses, il pourrait y passer sans qu'on en comprenne la véritable cause.;;;;;;;;;;;;x
cramps_desc;This character is having cramps periodically - a very unpleasant experience and a dangerous ailment when occurring at the wrong place at the wrong time.;Ce personnage souffre de crampes. Une expérience plutôt déplaisante et qui peut se révéler fort dangereuse lorsqu'elle survient au moment moment.;;;;;;;;;;;;x
rash;Rash;Irritations;;;;;;;;;;;;x
rash_desc;This character has a rash - itching and causing pain, a rash is usually considered very unattractive and could be the sign of something worse.;Ce personnage présentent des irritations accompagnées de douleurs et de démangeaisons. En plus de leur aspect repoussant, ces irritations sont souvent le symptôme d'un mal plus profond.;;;;;;;;;;;;x
headache_desc;This character has a persistent headache - a sharp pain in the head, probably nothing...;Ce personnage vit des migraines à répétition. Une douleur aigue lui traverse le crâne, même s'il cherche à le minimiser.;;;;;;;;;;;;x
one_legged_desc;This character is missing a leg - a real disability when it comes to the battlefield or chasing youngsters.;Ce personnage a une jambe en moins, ce qui révèle autant un désavantage sur un champ de bataille que pour courir les jupons.;;;;;;;;;;;;x
one_handed_desc;This character is missing a hand - having only one hand causes problems in combat but makes it easier to escape chores.;Ce personnage n'a qu'une seule main, ce qui lui pose problème au combat mais a l'élégant avantage de le dispenser de bien des corvées.;;;;;;;;;;;;x
one_eyed_desc;This character is missing an eye - not something you see every day.;Ce personnage ne voit plus que d'un il, ce qui demeure plutôt inusité.;;;;;;;;;;;;x
fatigue_desc;This character is fatigued - every little effort just makes them exhausted.;Ce personnage est fatigué, l'épuisement le guette à chaque effort.;;;;;;;;;;;;x
malaise_desc;This character experiences malaise - hard to say what is wrong, they just don't feel well.;Ce personnage a des malaises. La cause exacte en est inconnue, mais il ne se sent pas bien.;;;;;;;;;;;;x
infection_desc;This character has an infection - it looks and smells bad, but it feels even worse.;Ce personnage a développé une infection. C'est hideux et l'odeur est pestilentielle, mais ce n'est rien comparé à la douleur engendrée.;;;;;;;;;;;;x
flu_desc;This character has the flu - fever, headaches and chills.;Ce personnage a attrapé la grippe, il est fiévreux, grelottant et souffre de maux de tête.;;;;;;;;;;;;x
dysentery_desc;This character has dysentery - a bad case of bloody diarrhea caused by inflamed bowels.;Ce personnage a la dysentrie, un fâcheuse diarrhée sanguinolente provoquées par des viscères enflammées.;;;;;;;;;;;;x
gout_desc;This character has gout - swelling and joint pain accompanied by fever and fatigue.;Ce personnage a la goutte. Ses articulations sont douloureuses et enflées, en plus de souffrir de fièvre et de fatigue;;;;;;;;;;;;x
food_poisoning;Food Poisoning;Indigestion;;;;;;;;;;;;x
food_poisoning_desc;This character suffers from food poisoning - intense vomiting and diarrhea, a very bad condition but usually not very long lasting.;Ce personnage a avalé quelque chose d'avarié. Des vomissements intenses accompagnent une diarhée, un état préoccupant mais heureusement passager;;;;;;;;;;;;x
rabies;Rabies;Hydrophobie;;;;;;;;;;;;x
rabies_desc;This character has rabies - swelling and inflammation of the brain causes very strange and aggressive behavior.;Ce personnage est littéralement enragé. L'inflamamation et l'enflure de sa cervelle affecte étrangement son comportement et son aggressivité.;;;;;;;;;;;;x
dysentery_death;attending to 'chamber business';sur son pot-de-chambre;;;;;;;;;;;;x
food_poisoning_death;after a disagreement with a meal;suite à un repas récalcitrant;;;;;;;;;;;;x
cough_death;coughing [GetHerHis] lungs up;de s'être arrachés les poumons;;;;;;;;;;;;x
diarrhea_death;of dehydration from Diarrhea;déshydraté[GetNoneE] suite à une diarrhée;;;;;;;;;;;;x
vomiting_death;explosively vomiting;après s'être vomi les tripes;;;;;;;;;;;;x
chest_pain_death;clutching at [GetHerHis] heart;suite à un malaise cardiaque;;;;;;;;;;;;x
cramps_death;convulsing in a cramp;après de douloureuses convulsion;;;;;;;;;;;;x
malaise_death;not knowing quite what was wrong with them;subitement, sans trop que l'on sache pourquoi;;;;;;;;;;;;x
infection_death;of an infected wound;suite à l'infection d'une blessure;;;;;;;;;;;;x
depopulated_1;Minor Depopulation;Faible dépeuplement;;;;;;;;;;;;x
depopulated_1_desc;This county has been depopulated to a minor extent as a result of an epidemic. When diseases clear out of this county it will repopulate quickly.;Une épidémie a réduit la population de cette province. Lorsque les maladies se seront résorbées, le nombre d'habitants va rapidement remonter.;;;;;;;;;;;;x
depopulated_2;Significant Depopulation;Dépeuplement significatif;;;;;;;;;;;;x
depopulated_2_desc;This county has been significantly depopulated as a result of an epidemic. When diseases clear out of this county it will repopulate over several years.;Cette province a connu un grand nombre de morts suite à une épidémie. Il faudra plusieurs années sans grandes maladies pour rétablir la démographie des lieux.;;;;;;;;;;;;x
depopulated_3;Severe Depopulation;Dépeulement majeur;;;;;;;;;;;;x
depopulated_3_desc;This county has been depopulated to a severe extent as a result of an epidemic. When diseases clear out of this county it will take many years to repopulate.;Une épidémie a drastiquement amputé la population de cette province. Il faudra des années avant qu'elle parvienne à retrouver un nombre équivalent d'habitants.;;;;;;;;;;;;x
court_physician_tooltip_2;Must be male unless your realm accepts women as equals\n;Doit être un homme, sauf si l'égalité des sexes est reconnu à la cour\n;;;;;;;;;;;;x
in_seclusion;Secluded with Courtiers;Est reclus;;;;;;;;;;;;x
NOT_ANY_LIEGE_STARTS;No Liege;Pas de suzerain;;;;;;;;;;;;x
has_typhus;Camp Fever;Fièvre des geôles;;;;;;;;;;;;x
has_tuberculosis;Consumption;Phtisie;;;;;;;;;;;;x
has_small_pox;Smallpox;Petite vérole;;;;;;;;;;;;x
DEATH_EXECUTION_CRUSHING;was crushed to death on the order of $KILLER$;est mort[GetNoneE] sur les brodequins de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_ASH;was suffocated in ash on the order of $KILLER$;est mort[GetNoneE] du supplice des cendres sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BURNING;was burnt at the stake on the order of $KILLER$;est mort[GetNoneE] sur le bûcher dressé sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BURNING_NO_KILLER;was burnt at the stake;est mort[GetNoneE] brûlé[GetNoneE] vif(ve);;;;;;;;;;;;x
DEATH_EXECUTION_SNAKE_PIT;died from venomous bites in the snake pit on the order of $KILLER$;est mort[GetNoneE] dans la fosse aux serpents de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_SNAKE_PIT_NO_KILLER;died from venomous bites in the snake pit;est mort[GetNoneE] de morsures venimeuses;;;;;;;;;;;;x
DEATH_EXECUTION_BOILING;was boiled to death on the order of $KILLER$;est mort[GetNoneE] ébouillanté[GetNoneE] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_BOILING_NO_KILLER;was boiled to death;est mort[GetNoneE] ébouillanté[GetNoneE];;;;;;;;;;;;x
DEATH_EXECUTION_SAWING;was sawed in half on the order of $KILLER$;est mort[GetNoneE] car $KILLER$ l'a fait tranché[GetNoneE] en deux;;;;;;;;;;;;x
DEATH_EXECUTION_SAWING_NO_KILLER;was sawed in half;est mort[GetNoneE] après avoir été scié[GetNoneE] en deux;;;;;;;;;;;;x
DEATH_EXECUTION_HUNT;was killed in an elaborate hunt by $KILLER$;est mort[GetNoneE] lors d'une funeste chasse organisée par $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_HUNT_NO_KILLER;was killed in an elaborate hunt;est mort[GetNoneE] dans un cruel accident de chasse;;;;;;;;;;;;x
DEATH_EXECUTION_LIVE_BURIAL;was buried alive on the order of $KILLER$;est mort[GetNoneE] enseveli[GetNoneE] vivant[GetNoneE] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_LIVE_BURIAL_NO_KILLER;was buried alive;est mort[GetNoneE] sous terre;;;;;;;;;;;;x
DEATH_EXECUTION_WINE;was drowned in wine on the order of $KILLER$;est mort[GetNoneE] noyé[GetNoneE] dans le vin de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_POISON;was poisoned to death on the order of $KILLER$;est mortellement empoisonné[GetNoneE] sur ordre de $KILLER$;;;;;;;;;;;;x
DEATH_EXECUTION_POISON_NO_KILLER;was poisoned to death;est mortellement empoisonné[GetNoneE];;;;;;;;;;;;x
DEATH_EXECUTION_BAMBOO;was pierced to death on growing bamboo on the order of $KILLER$;est mort[GetNoneE] le corps transpercé par le bambou de $KILLER$;;;;;;;;;;;;x
